Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
CORAL0001	SB0001	CORAL0001	All_cells1	slategray2
CORAL0002	SB0001	CORAL0002	All_cells1	slategray2
CORAL0003	SB0001	CORAL0003	All_cells1	slategray2
CORAL0004	SB0001	CORAL0004	All_cells1	slategray2
CORAL0005	SB0001	CORAL0005	All_cells1	slategray2
CORAL0006	SB0001	CORAL0006	All_cells1	slategray2
CORAL2001	SB0002	CORAL2001	All_cells2	slategray3
CORAL2002	SB0002	CORAL2002	All_cells2	slategray3
CORAL2003	SB0002	CORAL2003	All_cells2	slategray3
CORAL2004	SB0002	CORAL2004	All_cells2	slategray3
CORAL2005	SB0002	CORAL2005	All_cells2	slategray3
CORAL2006	SB0002	CORAL2006	All_cells2	slategray3
CORAL2007	SB0002	CORAL2007	All_cells2	slategray3
CORAL2008	SB0002	CORAL2008	All_cells2	slategray3
CORAL2009	SB0002	CORAL2009	All_cells2	slategray3
CORAL2010	SB0002	CORAL2010	Host_cells2	seagreen2
CORAL2011	SB0002	CORAL2011	All_cells2	slategray3
CORAL2012	SB0002	CORAL2012	Host_cells2	seagreen2
CORAL2013	SB0002	CORAL2013	All_cells2	slategray3
CORAL2014	SB0002	CORAL2014	All_cells2	slategray3
CORAL2015	SB0002	CORAL2015	All_cells2	slategray3
CORAL2016	SB0002	CORAL2016	All_cells2	slategray3
CORAL2017	SB0002	CORAL2017	All_cells2	slategray3
CORAL2018	SB0002	CORAL2018	All_cells2	slategray3
CORAL2019	SB0002	CORAL2019	All_cells2	slategray3
CORAL2020	SB0002	CORAL2020	All_cells2	slategray3
CORAL2021	SB0002	CORAL2021	All_cells2	slategray3
CORAL2022	SB0002	CORAL2022	All_cells2	slategray3
CORAL2023	SB0002	CORAL2023	All_cells2	slategray3
CORAL2024	SB0002	CORAL2024	All_cells2	slategray3
CORAL2025	SB0002	CORAL2025	All_cells2	slategray3
CORAL2026	SB0002	CORAL2026	All_cells2	slategray3
CORAL2027	SB0002	CORAL2027	All_cells2	slategray3
CORAL2028	SB0002	CORAL2028	Host_cells_failed	red4
CORAL2029	SB0002	CORAL2029	Host_cells2	seagreen2
CORAL2030	SB0002	CORAL2030	All_cells2	slategray3
CORAL2031	SB0002	CORAL2031	Host_cells_failed	red4
CORAL2032	SB0002	CORAL2032	Host_cells_failed	red4
CORAL3033	SB0003	CORAL3033	Cnidocytes3	hotpink3
CORAL3034	SB0003	CORAL3034	All_cells3	slategray
CORAL3035	SB0003	CORAL3035	All_cells3	slategray
CORAL3036	SB0003	CORAL3036	Cnidocytes3	hotpink3
CORAL3037	SB0004	CORAL3037	All_cells3	slategray
CORAL3038	SB0004	CORAL3038	Cnidocytes3	hotpink3
CORAL3039	SB0004	CORAL3039	Cnidocytes3	hotpink3
CORAL3040	SB0004	CORAL3040	Cnidocytes3	hotpink3
CORAL3041	SB0004	CORAL3041	Host_cells3	seagreen4
CORAL3042	SB0004	CORAL3042	Host_cells3	seagreen4
CORAL3043	SB0004	CORAL3043	Host_cells3	seagreen4
CORAL3044	SB0004	CORAL3044	Host_cells3	seagreen4
CORAL3045	SB0004	CORAL3045	All_cells3	slategray
CORAL3046	SB0004	CORAL3046	All_cells3	slategray
CORAL3047	SB0004	CORAL3047	All_cells3	slategray
CORAL3048	SB0004	CORAL3048	All_cells3	slategray
CORAL3049	SB0004	CORAL3049	GFP_cells	green3
CORAL3050	SB0004	CORAL3050	GFP_cells	green3
CORAL3051	SB0004	CORAL3051	Host_cells3	seagreen4
CORAL3052	SB0006	CORAL3052	Cnidocytes4	hotpink4
CORAL3053	SB0006	CORAL3053	Cnidocytes4	hotpink4
CORAL3054	SB0006	CORAL3054	Cnidocytes4	hotpink4
CORAL3055	SB0006	CORAL3055	Cnidocytes4	hotpink4
CORAL3056	SB0006	CORAL3056	Host_cells4	seagreen1
CORAL3057	SB0006	CORAL3057	Host_cells4	seagreen1
CORAL3058	SB0006	CORAL3058	All_cells4	slategray4
CORAL3059	SB0006	CORAL3059	Host_cells4	seagreen1
CORAL3060	SB0006	CORAL3060	All_cells4	slategray4
CORAL3061	SB0006	CORAL3061	All_cells4	slategray4
CORAL3062	SB0006	CORAL3062	All_cells4	slategray4
CORAL3063	SB0006	CORAL3063	All_cells4	slategray4
CORAL3064	SB0006	CORAL3064	All_cells4	slategray4
SETLV0001	SB0004	SETLV0001	Settling_larva	sienna4
SETLV0002	SB0004	SETLV0002	Settling_larva	sienna4
SETLV0003	SB0004	SETLV0003	Settling_larva	sienna4
SETLV0004	SB0004	SETLV0004	Settling_larva	sienna4
SETLV0005	SB0006	SETLV0005	Settling_larva	sienna4
SETLV0006	SB0006	SETLV0006	Settling_larva	sienna4
SETLV0007	SB0006	SETLV0007	Settling_larva	sienna4
SETLV0008	SB0006	SETLV0008	Settling_larva	sienna4
SETLV0009	SB0006	SETLV0009	Settling_larva	sienna4
SETLV0010	SB0006	SETLV0010	Settling_larva	sienna4
SETLV0011	SB0006	SETLV0011	Settling_larva	sienna4
SWILV0001	SB0003	SWILV0001	Swim_larva	darkgoldenrod3
SWILV0002	SB0004	SWILV0002	Swim_larva	darkgoldenrod3
SWILV0003	SB0004	SWILV0003	Swim_larva	darkgoldenrod3
SWILV0004	SB0004	SWILV0004	Swim_larva	darkgoldenrod3
SWILV0005	SB0004	SWILV0005	Swim_larva	darkgoldenrod3
SWILV0006	SB0006	SWILV0006	Swim_larva	darkgoldenrod3
SWILV0007	SB0006	SWILV0007	Swim_larva	darkgoldenrod3
SWILV0008	SB0006	SWILV0008	Swim_larva	darkgoldenrod3
SWILV0009	SB0006	SWILV0009	Swim_larva	darkgoldenrod3
SWILV0010	SB0006	SWILV0010	Swim_larva	darkgoldenrod3
SWILV0011	SB0006	SWILV0011	Swim_larva	darkgoldenrod3
SWILV0012	SB0006	SWILV0012	Swim_larva	darkgoldenrod3
SWILV0013	SB0006	SWILV0013	Swim_larva	darkgoldenrod3
SWILV0014	SB0006	SWILV0014	Swim_larva	darkgoldenrod3
SWILV0015	SB0006	SWILV0015	Swim_larva	darkgoldenrod3
SWILV0016	SB0006	SWILV0016	Swim_larva	darkgoldenrod3
