metacell_new,cell_type,N,frac,assigned_cell_type,assigned_frac
63,cnidocyte,55,0.901639344262295,cnidocyte,0.901639344262295
63,mitotic_host_cells,2,0.0327868852459016,cnidocyte,0.901639344262295
63,gastrodermis,2,0.0327868852459016,cnidocyte,0.901639344262295
63,neuron_11,1,0.0163934426229508,cnidocyte,0.901639344262295
63,gland_10,1,0.0163934426229508,cnidocyte,0.901639344262295
67,gastrodermis_musclelike,89,0.872549019607843,gastrodermis_musclelike,0.872549019607843
67,gastrodermis,11,0.107843137254902,gastrodermis_musclelike,0.872549019607843
67,digestive_filaments,2,0.0196078431372549,gastrodermis_musclelike,0.872549019607843
5,gastrodermis,102,1,gastrodermis,1
7,gastrodermis,72,1,gastrodermis,1
9,gastrodermis,108,1,gastrodermis,1
14,gastrodermis,64,1,gastrodermis,1
15,gastrodermis,68,1,gastrodermis,1
16,gastrodermis,88,1,gastrodermis,1
27,gastrodermis,93,1,gastrodermis,1
29,gastrodermis,136,1,gastrodermis,1
33,gastrodermis,85,1,gastrodermis,1
37,gastrodermis,72,1,gastrodermis,1
38,gastrodermis,134,1,gastrodermis,1
39,gastrodermis,38,1,gastrodermis,1
40,gastrodermis,92,1,gastrodermis,1
41,gastrodermis,78,1,gastrodermis,1
42,gastrodermis,57,1,gastrodermis,1
44,gastrodermis,120,1,gastrodermis,1
45,gastrodermis,50,1,gastrodermis,1
46,gastrodermis,96,1,gastrodermis,1
47,gastrodermis,72,1,gastrodermis,1
49,gastrodermis,41,1,gastrodermis,1
17,gastrodermis,100,0.99009900990099,gastrodermis,0.99009900990099
17,neuron_13,1,0.0099009900990099,gastrodermis,0.99009900990099
48,gastrodermis,96,0.989690721649485,gastrodermis,0.989690721649485
48,host_cells,1,0.0103092783505155,gastrodermis,0.989690721649485
28,gastrodermis,95,0.989583333333333,gastrodermis,0.989583333333333
28,unknown,1,0.0104166666666667,gastrodermis,0.989583333333333
30,gastrodermis,83,0.988095238095238,gastrodermis,0.988095238095238
30,mitotic_host_cells,1,0.0119047619047619,gastrodermis,0.988095238095238
34,gastrodermis,81,0.987804878048781,gastrodermis,0.987804878048781
34,host_cells,1,0.0121951219512195,gastrodermis,0.987804878048781
13,gastrodermis,71,0.986111111111111,gastrodermis,0.986111111111111
13,mitotic_host_cells,1,0.0138888888888889,gastrodermis,0.986111111111111
19,gastrodermis,70,0.985915492957746,gastrodermis,0.985915492957746
19,host_cells,1,0.0140845070422535,gastrodermis,0.985915492957746
6,gastrodermis,64,0.984615384615385,gastrodermis,0.984615384615385
6,gland_7,1,0.0153846153846154,gastrodermis,0.984615384615385
3,gastrodermis,123,0.984,gastrodermis,0.984
3,mitotic_host_cells,1,0.008,gastrodermis,0.984
3,host_cells,1,0.008,gastrodermis,0.984
8,gastrodermis,61,0.983870967741936,gastrodermis,0.983870967741936
8,mitotic_host_cells,1,0.0161290322580645,gastrodermis,0.983870967741936
24,gastrodermis,60,0.983606557377049,gastrodermis,0.983606557377049
24,epidermis_2,1,0.0163934426229508,gastrodermis,0.983606557377049
65,gastrodermis,115,0.982905982905983,gastrodermis,0.982905982905983
65,cnidocyte,1,0.00854700854700855,gastrodermis,0.982905982905983
65,digestive_filaments,1,0.00854700854700855,gastrodermis,0.982905982905983
26,gastrodermis,103,0.980952380952381,gastrodermis,0.980952380952381
26,host_cells,2,0.0190476190476191,gastrodermis,0.980952380952381
18,gastrodermis,49,0.98,gastrodermis,0.98
18,gland_6,1,0.02,gastrodermis,0.98
36,gastrodermis,48,0.979591836734694,gastrodermis,0.979591836734694
36,host_cells,1,0.0204081632653061,gastrodermis,0.979591836734694
62,gastrodermis,91,0.978494623655914,gastrodermis,0.978494623655914
62,neuron_8,1,0.010752688172043,gastrodermis,0.978494623655914
62,neuron_5,1,0.010752688172043,gastrodermis,0.978494623655914
25,gastrodermis,84,0.976744186046512,gastrodermis,0.976744186046512
25,host_cells,1,0.0116279069767442,gastrodermis,0.976744186046512
25,mitotic_host_cells,1,0.0116279069767442,gastrodermis,0.976744186046512
35,gastrodermis,81,0.975903614457831,gastrodermis,0.975903614457831
35,host_cells,2,0.0240963855421687,gastrodermis,0.975903614457831
66,gastrodermis,75,0.974025974025974,gastrodermis,0.974025974025974
66,germline_sperm,1,0.012987012987013,gastrodermis,0.974025974025974
66,neuron_12,1,0.012987012987013,gastrodermis,0.974025974025974
22,gastrodermis,72,0.972972972972973,gastrodermis,0.972972972972973
22,host_cells,2,0.027027027027027,gastrodermis,0.972972972972973
23,gastrodermis,68,0.971428571428571,gastrodermis,0.971428571428571
23,mitotic_host_cells,1,0.0142857142857143,gastrodermis,0.971428571428571
23,host_cells,1,0.0142857142857143,gastrodermis,0.971428571428571
10,gastrodermis,63,0.969230769230769,gastrodermis,0.969230769230769
10,neuron_11,1,0.0153846153846154,gastrodermis,0.969230769230769
10,neuron_14,1,0.0153846153846154,gastrodermis,0.969230769230769
21,gastrodermis,60,0.967741935483871,gastrodermis,0.967741935483871
21,neuron_8,1,0.0161290322580645,gastrodermis,0.967741935483871
21,host_cells,1,0.0161290322580645,gastrodermis,0.967741935483871
2,gastrodermis,84,0.96551724137931,gastrodermis,0.96551724137931
2,digestive_filaments,2,0.0229885057471264,gastrodermis,0.96551724137931
2,host_cells,1,0.0114942528735632,gastrodermis,0.96551724137931
64,gastrodermis,78,0.962962962962963,gastrodermis,0.962962962962963
64,neuron_14,1,0.0123456790123457,gastrodermis,0.962962962962963
64,germline_sperm,1,0.0123456790123457,gastrodermis,0.962962962962963
64,host_cells,1,0.0123456790123457,gastrodermis,0.962962962962963
43,gastrodermis,103,0.962616822429906,gastrodermis,0.962616822429906
43,immune_2,1,0.00934579439252336,gastrodermis,0.962616822429906
43,host_cells,1,0.00934579439252336,gastrodermis,0.962616822429906
43,neuron_10,1,0.00934579439252336,gastrodermis,0.962616822429906
43,gland_6,1,0.00934579439252336,gastrodermis,0.962616822429906
69,gastrodermis,131,0.956204379562044,gastrodermis,0.956204379562044
69,gastrodermis_musclelike,4,0.0291970802919708,gastrodermis,0.956204379562044
69,digestive_filaments,2,0.0145985401459854,gastrodermis,0.956204379562044
20,gastrodermis,86,0.955555555555556,gastrodermis,0.955555555555556
20,digestive_filaments,2,0.0222222222222222,gastrodermis,0.955555555555556
20,neuron_14,1,0.0111111111111111,gastrodermis,0.955555555555556
20,neuron_10,1,0.0111111111111111,gastrodermis,0.955555555555556
1,gastrodermis,55,0.948275862068965,gastrodermis,0.948275862068965
1,host_cells,2,0.0344827586206897,gastrodermis,0.948275862068965
1,gland_7,1,0.0172413793103448,gastrodermis,0.948275862068965
4,gastrodermis,54,0.947368421052632,gastrodermis,0.947368421052632
4,mitotic_host_cells,1,0.0175438596491228,gastrodermis,0.947368421052632
4,neuron_5,1,0.0175438596491228,gastrodermis,0.947368421052632
4,digestive_filaments,1,0.0175438596491228,gastrodermis,0.947368421052632
68,gastrodermis,54,0.947368421052632,gastrodermis,0.947368421052632
68,epidermis_2,1,0.0175438596491228,gastrodermis,0.947368421052632
68,mitotic_host_cells,1,0.0175438596491228,gastrodermis,0.947368421052632
68,digestive_filaments,1,0.0175438596491228,gastrodermis,0.947368421052632
31,gastrodermis,82,0.942528735632184,gastrodermis,0.942528735632184
31,host_cells,2,0.0229885057471264,gastrodermis,0.942528735632184
31,epidermis_2,1,0.0114942528735632,gastrodermis,0.942528735632184
31,gastrodermis_musclelike,1,0.0114942528735632,gastrodermis,0.942528735632184
31,digestive_filaments,1,0.0114942528735632,gastrodermis,0.942528735632184
52,gastrodermis,45,0.9375,gastrodermis,0.9375
