gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Hvul_g10014_1	84716	16.9018413	8924	0.734	-0.039	0.575454996105092	-0.0620336928819739	0.6931578	7	6	6	0.5266485	0.6158576	0.225593595250202	-0.0592997059188796	8924	750	no	-0.925087707024996
Hvul_g10017_1	16488	1.7620664	1903	0.531	-0.0549999999999999	0.781306825069705	0.0216398850583511	0.1157124	4	3	3	0.0902715	0.0991853	0.135268513396536	0.0591205713344903	1903	750	no	-3.46958560958314
Hvul_g10018_1	261703	197.211564	15501	0.858	0.028	0.619296710518774	7.96132223450652e-05	1.7509847	11	10	10	1.3431614	1.8851794	0.488942368941769	-0.113136911916156	15501	750	no	0.425632675568673
Hvul_g1002_1	733	0.0320167	127	0.12	-0.047	1	0	0.0062646	2	2	2	0.005715	0.0061156	0.0913916473588444	0.0586060893220591	127	750	no	-7.45103078622233
Hvul_g10020_1	460	0.023852	57	0.123	-0.003	1	0	0.002925	1	1	1	0.0024679	0.0024619	-0.00301029108863754	-5.59591629496728e-05	57	750	no	-8.662500347398
Hvul_g10022_1	2623	0.126986	375	0.285	-0.014	1	0	0.0226616	2	2	2	0.0165389	0.0168723	0.0281025564099178	-0.000567961895084401	375	750	no	-5.91799290552661
Hvul_g10023_1	1946	0.1272097	269	0.21	-0.051	1	0	0.0163215	2	2	2	0.0119496	0.0124135	0.0531553787720278	0.0299297882670921	269	750	no	-6.38689386342433
Hvul_g10027_1	1373	0.0651725	181	0.231	0	1	0	0.0104683	2	2	2	0.0079664	0.0081631	0.0334841567841922	0	181	750	no	-6.97185636414549
Hvul_g10029_1	767	0.0364291	72	0.232	0.055	1	0	0.0041064	2	1	1	0.0031606	0.0032373	0.0306570195495251	0.0345125254220143	72	750	no	-8.30558582282423
Hvul_g10030_1	2246	0.1155394	323	0.293	0.011	1	0	0.018693	2	2	2	0.014201	0.0144329	0.022717103572433	-0.000183958171891499	323	750	no	-6.13786366537969
Hvul_g10032_1	1272	0.0568282	191	0.218	-0.00700000000000001	1	0	0.0106593	2	2	1	0.0083561	0.0084598	0.0169652313849658	-0.000600224979236543	191	750	no	-6.90295452698172
Hvul_g10034_1	25076	9.6092891	2199	0.341	-0.31	0.983217731005342	0.268362381891912	0.1676688	8	7	6	0.1333939	0.224022	0.746155496137879	0.654158058267797	2199	750	yes	-2.90623540018619
Hvul_g10035_1	3104	0.657565	351	0.09	-0.246	1	0	0.0287372	6	5	5	0.0197861	0.0324713	0.703173333305909	0.659274567664248	351	750	yes	-5.65936891620377
Hvul_g10037_1	1056	0.0460566	135	0.208	0.013	1	0	0.0085182	2	1	1	0.0058882	0.0059404	0.0119067158039916	-0.000395571295276762	135	750	no	-7.40795760951244
Hvul_g10038_1	16	0.0006538	1	0.027	0.004	1	0	0.0001746	1	0	0	4.33e-05	4.33e-05	0	0	1	750	no	-14.4952734494848
Hvul_g10039_1	534	0.0222571	67	0.178	0.029	1	0	0.0033157	1	1	1	0.0029008	0.0028925	-0.00362061448879225	-0.0373366467122121	67	750	no	-8.42933345446738
Hvul_g1004_1	16166	1.4361026	1822	0.616	0.0470000000000001	0.749567260138477	-0.0131868633751404	0.1104426	3	3	3	0.0840802	0.0880982	0.0670266231818392	-0.013305775150972	1822	750	no	-3.57209008875883
Hvul_g10040_1	498	0.035158	76	0.089	-0.052	1	0	0.0056956	3	2	2	0.0036368	0.0044031	0.250149263180817	0.224150407606114	76	750	no	-8.10311469539369
Hvul_g10041_1	353	0.0148794	43	0.146	0.035	1	0	0.002568	1	1	1	0.0018617	0.0018583	-0.00216026850565529	-8.76417179149491e-05	43	750	no	-9.06916367330267
Hvul_g10042_1	2733	0.1357324	339	0.352	0.034	1	0	0.0184906	2	2	1	0.0147638	0.0147197	-0.00419887230223845	-0.0482256148777443	339	750	no	-6.08179209062791
Hvul_g10045_1	663	0.0299721	68	0.209	0.046	1	0	0.0040814	2	1	1	0.0029874	0.0030652	0.0326589614723225	0	68	750	no	-8.38689386342433
Hvul_g10047_1	146243	71.8341813	11759	0.806	0.037	0.63191182403096	-0.0258626846557287	1.0267803	10	7	7	0.7907088	0.9693577	0.2937446358564	-0.353154129559668	11759	750	no	-0.338781614026701
Hvul_g10048_1	122	0.0052088	16	0.084	0.019	1	0	0.0008026	1	1	1	0.0006927	0.0006923	-0.000523129257381688	0	16	750	no	-10.4954817057163
Hvul_g10050_1	158	0.0065004	29	0.074	0.003	1	0	0.0010442	1	1	1	0.0012556	0.0012541	-0.00129935308138168	-5.4291108920344e-05	29	750	no	-9.63740735062942
Hvul_g10051_1	2806	0.483055	565	0.036	-0.283	1	0	0.0487344	9	9	6	0.033684	0.0619066	0.870086635394311	0.818338994705558	565	750	yes	-4.89179272009049
Hvul_g10056_1	292	0.0169487	22	0.127	0.019	1	0	0.0015169	1	1	1	0.0009525	0.0009516	-0.00095284910351008	-7.8108747249672e-05	22	750	no	-10.0359932869435
Hvul_g10057_1	117	0.0050064	17	0.072	0.00499999999999999	1	0	0.0010672	1	1	1	0.000736	0.0007355	-0.000629241091363541	-0.000106111833981853	17	750	no	-10.4080066132672
Hvul_g10065_1	208	0.0085959	23	0.094	0.005	1	0	0.0013622	1	1	1	0.0009958	0.0009949	-0.000923504122590788	0	23	750	no	-9.97185636414549
Hvul_g10066_1	675	0.029291	68	0.187	0.024	1	0	0.0041521	1	1	1	0.0029441	0.0029356	-0.00366005029258602	-0.0368618354227055	68	750	no	-8.40795760951244
Hvul_g10068_1	2801	0.1649516	317	0.337	0.016	1	0	0.0172606	2	2	2	0.0140278	0.0144378	0.0403965282295339	0.00843881626510854	317	750	no	-6.15556742300956
Hvul_g10070_1	1271	0.070121	140	0.208	-0.017	1	0	0.0076197	2	1	1	0.0061047	0.0061543	0.0109413802986146	-0.018283514585559	140	750	no	-7.35586388529654
Hvul_g10076_1	369	0.0164956	41	0.153	0.046	1	0	0.002023	1	1	1	0.0017751	0.001772	-0.00204761579362316	-9.34536496226585e-05	41	750	no	-9.13788398374037
Hvul_g10077_1	9943	0.7935084	1478	0.343	-0.166	0.857128503968653	0.015473872237685	0.095329	3	3	3	0.0695761	0.0771212	0.147707321148319	0.0773109391101021	1478	750	yes	-3.84526437699039
Hvul_g10078_1	6337	0.3711453	807	0.468	0.041	1	0	0.0447353	2	2	2	0.0358055	0.0362569	0.017870697535257	-0.031534267530399	807	750	no	-4.80367497621623
Hvul_g10079_1	632	0.027545	102	0.109	-0.051	1	0	0.0063628	1	1	1	0.0044162	0.0043968	-0.00581016889579683	-0.0254933093499475	102	750	no	-7.82297877457625
Hvul_g10080_1	288	0.0122095	38	0.086	-0.024	1	0	0.002396	1	1	1	0.0016452	0.0016426	-0.00182572804190734	-3.24703169214753e-05	38	750	no	-9.24752130771116
Hvul_g10081_1	8751	0.6552692	937	0.528	0.035	0.89909827645246	0.0131728636825718	0.0564685	3	2	2	0.0421267	0.0435578	0.0477385413215857	0	937	750	no	-4.56912128313406
Hvul_g10082_1	7714	0.4848927	850	0.505	0.029	0.924391506991196	-0.00402898957510056	0.0511421	3	2	2	0.0380569	0.039208	0.0425377992159854	-0.00457118977517555	850	750	no	-4.71569814095244
Hvul_g10083_1	4677	0.2782286	563	0.409	0.019	1	0	0.0313413	2	2	2	0.024895	0.0253154	0.0237704509968777	-0.0242824057040845	563	750	no	-5.32800017437076
Hvul_g10084_1	1371	0.0692705	172	0.233	0.002	1	0	0.0102515	2	2	1	0.0075334	0.0076502	0.021057333196508	-0.00044719350073627	172	750	no	-7.05248315069916
Hvul_g10088_1	639	0.0274893	73	0.199	0.039	1	0	0.0039422	2	1	1	0.0032039	0.0032803	0.0301763364267186	0.000430820434181526	73	750	no	-8.28595516555327
Hvul_g10089_1	267	0.0114522	37	0.13	0.034	1	0	0.0015583	1	1	1	0.0016019	0.0015994	-0.00179325772498586	-0.000107247002142504	37	750	no	-9.28600019559653
Hvul_g10091_1	172	0.0073104	27	0.061	-0.016	1	0	0.0015797	1	1	1	0.001169	0.0011677	-0.00118779667244554	-6.04907735550972e-05	27	750	no	-9.74050935479252
Hvul_g10093_1	11257	0.8294505	1389	0.556	0.031	0.797017839708884	-0.0156914931416633	0.0803745	3	3	3	0.0623891	0.0632619	0.0199127347164137	-0.0457881021731901	1389	750	no	-4.00256219193009
Hvul_g10095_1	1373	0.0636188	177	0.247	0.016	1	0	0.0098822	2	1	1	0.0077066	0.0077342	0.00489709617571186	-0.0303573122766403	177	750	no	-7.01968977277218
Hvul_g10096_1	1182	0.0540081	136	0.244	0.021	1	0	0.0084043	2	1	1	0.0059315	0.0059832	0.0117129416441759	-0.00019377415981572	136	750	no	-7.39738729474595
Hvul_g10100_1	972	0.0431521	152	0.188	0	1	0	0.0080196	3	2	2	0.0067541	0.0071418	0.076028599941617	0.0496922207394856	152	750	no	-7.2100207448731
Hvul_g10102_1	10256	0.6574535	1322	0.52	0	0.795051626729008	-0.0384430489728309	0.0797241	3	3	3	0.0595315	0.0609259	0.0331762028722634	-0.0275892070244378	1322	750	no	-4.07020294373227
Hvul_g10106_1	4083	0.2397427	474	0.399	0.025	1	0	0.0263133	2	2	2	0.0209984	0.0215109	0.034129066928484	-0.00133157016915741	474	750	no	-5.57357678569312
Hvul_g10107_1	6841	0.4241544	792	0.512	0.066	0.977521529703693	-0.0207111654362188	0.0481735	3	2	2	0.0351561	0.0357401	0.023496442766947	-0.0239914971798654	792	750	no	-4.83008115406966
Hvul_g1011_1	66	0.0026913	10	0.022	-0.024	1	0	0.0007464	1	1	1	0.000433	0.0004328	-0.000342062554171561	0	10	750	no	-11.1733453545975
Hvul_g10118_1	1215	0.0552252	164	0.199	-0.018	1	0	0.0096482	2	1	1	0.0071438	0.0071797	0.00683970816421064	-0.0166129849680838	164	750	no	-7.12909259376722
Hvul_g10119_1	2989	0.143342	404	0.309	-0.024	1	0	0.0240074	2	2	2	0.0178378	0.0182131	0.0293697052286941	0	404	750	no	-5.80891849631068
Hvul_g1012_1	4013	0.2327578	596	0.302	-0.064	1	0	0.0339089	3	2	2	0.0264104	0.0270129	0.032049650869726	-0.00436998726860657	596	750	no	-5.24275003769621
Hvul_g10121_1	1149	0.0698786	170	0.169	-0.054	1	0	0.007996	2	2	2	0.0074902	0.0076942	0.0367777193647773	0.015273192667533	170	750	no	-7.06078004326031
Hvul_g10123_1	204	0.0090076	23	0.115	0.026	1	0	0.0015296	2	1	1	0.0010391	0.0011247	0.0827647076635127	0.0836882117861035	23	750	no	-9.91044978291099
Hvul_g10124_1	6277	0.3750274	818	0.433	0.005	1	0	0.0465204	3	3	2	0.0365415	0.0376324	0.0419746331298744	-0.00716461026738557	818	750	no	-4.77432033309053
Hvul_g10127_1	87	0.0035446	20	0.042	-0.011	1	0	0.000844	1	1	1	0.0008659	0.0008652	-0.000791337355401161	-8.92544078059948e-05	20	750	no	-10.1735119571776
Hvul_g1013_1	553	0.0247167	81	0.133	-0.015	1	0	0.0047682	1	1	1	0.0035069	0.0034948	-0.00446292379914076	-0.0316411840243665	81	750	no	-8.15558799224102
Hvul_g10131_1	28597	2.8485326	3460	0.703	0.0349999999999999	0.649561296186248	-0.0494268405897462	0.2204752	4	3	3	0.1655193	0.171641	0.0522674217428131	-0.0368591596516331	3460	750	no	-2.59492864588579
Hvul_g10133_1	940	0.0418642	123	0.169	-0.022	1	0	0.0080574	2	2	1	0.005412	0.0055561	0.0352695674974737	0.0208631803758668	123	750	no	-7.52962244534764
Hvul_g10136_1	274	0.0116503	29	0.127	0.02	1	0	0.001939	1	1	1	0.0012556	0.0012541	-0.00129935308138168	-5.4291108920344e-05	29	750	no	-9.63740735062942
Hvul_g1014_1	2284	0.1338966	221	0.337	0.045	1	0	0.0146927	2	2	2	0.0097415	0.0099934	0.0353600262347127	0.0120588176491829	221	750	no	-6.68164034849998
Hvul_g10140_1	191	0.0091388	52	-0.002	-0.088	1	0	0.0029293	1	1	1	0.0022514	0.0022464	-0.00271231585715098	-0.000133197576289578	52	750	no	-8.79496188546691
Hvul_g10141_1	462	0.0200872	55	0.156	0.028	1	0	0.0029135	1	1	1	0.0023813	0.0023757	-0.00289663929375553	-5.95079156917176e-05	55	750	no	-8.7140348995649
