gene	gene_umis
Spis10006_1	0
Spis10012_1	22
Spis10030_1	4
Spis10031_1	3
Spis10033_1	17
Spis10039_1	0
Spis10051_1	7
Spis10066_1	4
Spis10075_1	0
Spis10076_1	1
Spis10078_1	22
Spis10079_1	13
Spis10085_1	10
Spis10086_1	2
Spis10089_1	103
Spis10110_1	31
Spis10114_1	1
Spis10164_1	12
Spis10165_1	23
Spis10167_1	29
Spis10168_1	98
Spis10169_1	27
Spis10178_1	0
Spis10187_1	1
Spis10188_1	93
Spis10189_1	9
Spis10190_1	47
Spis10191_1	0
Spis10201_1	4
Spis10203_1	43
Spis10210_1	6
Spis10211_1	3
Spis10212_1	12
Spis10213_1	0
Spis10228_1	14
Spis10249_1	11
Spis10262_1	0
Spis10291_1	12
Spis10293_1	32
Spis10294_1	0
Spis10295_1	3
Spis10296_1	1
Spis10297_1	7
Spis10298_1	0
Spis10302_1	5
Spis10304_1	0
Spis10306_1	3
Spis10307_1	0
Spis10308_1	1
Spis10309_1	74
Spis10310_1	31
Spis10311_1	24
Spis10313_1	1
Spis10314_1	3
Spis10315_1	0
Spis10316_1	0
Spis10317_1	0
Spis10319_1	5
Spis1031_1	0
Spis10320_1	8
Spis10321_1	0
Spis10329_1	3
Spis10330_1	7
Spis10334_1	0
Spis10379_1	0
Spis10386_1	0
Spis10401_1	1
Spis10413_1	4
Spis1042_1	105
Spis1043_1	44
Spis1044_1	5
Spis10451_1	2
Spis10458_1	0
Spis1045_1	23
Spis10465_1	43
Spis10466_1	0
Spis10469_1	1
Spis10470_1	11
Spis10471_1	1
Spis10473_1	1
Spis10484_1	8
Spis10486_1	4
Spis10487_1	17
Spis10492_1	2
Spis10493_1	17
Spis10494_1	29
Spis10501_1	0
Spis10512_1	2
Spis10513_1	14
Spis10519_1	4
Spis10520_1	1
Spis10522_1	1
Spis10527_1	6
Spis10529_1	0
Spis10530_1	0
Spis10545_1	3
Spis10546_1	1
Spis10547_1	60
Spis10548_1	0
Spis10589_1	16
Spis10593_1	15
Spis10619_1	23
Spis10625_1	0
Spis10627_1	15
Spis10628_1	5
Spis10634_1	5
Spis10637_1	5
Spis10638_1	0
Spis10639_1	0
Spis10642_1	0
Spis10643_1	0
Spis10645_1	44
Spis10670_1	85
Spis10717_1	7
Spis10721_1	59
Spis10753_1	5
Spis10787_1	17
Spis10795_1	1
Spis10801_1	0
Spis10817_1	10
Spis10824_1	41
Spis10829_1	0
Spis10836_1	3
Spis10843_1	1
Spis10848_1	2
Spis10849_1	1
Spis10850_1	83
Spis10875_1	3
Spis10894_1	1
Spis10908_1	1
Spis10921_1	2
Spis10922_1	5
Spis10937_1	102
Spis10957_1	0
Spis10958_1	0
Spis10960_1	0
Spis10961_1	14
Spis10963_1	0
Spis10965_1	1
Spis10975_1	13
Spis1097_1	0
Spis11004_1	17
Spis11005_1	1
Spis11018_1	2
Spis11040_1	4
Spis11042_1	55
Spis11044_1	6
Spis11046_1	16
Spis11077_1	69
Spis11078_1	9
Spis11080_1	0
Spis11081_1	7
Spis11086_1	0
Spis11087_1	1
Spis11089_1	3
Spis11090_1	0
Spis11095_1	2
Spis11097_1	1
Spis11099_1	0
Spis11100_1	58
Spis11106_1	0
Spis11114_1	305
Spis11140_1	72
Spis11164_1	54
Spis11180_1	8
Spis11187_1	0
Spis11190_1	0
Spis11201_1	3
Spis11210_1	3
Spis11227_1	42
Spis11228_1	2
Spis11233_1	16
Spis11259_1	161
Spis11280_1	11
Spis11297_1	13
Spis11308_1	0
Spis1130_1	3
Spis11324_1	29
Spis11369_1	11
Spis11373_1	79
Spis11375_1	3
Spis11397_1	18
Spis11399_1	6
Spis11403_1	1
Spis11408_1	9
Spis11409_1	1
Spis11414_1	0
Spis11416_1	7
Spis11417_1	8
Spis11448_1	2
Spis11449_1	28
Spis11450_1	16
Spis11458_1	11
Spis11459_1	0
Spis1145_1	35
Spis11468_1	36
Spis11470_1	7
Spis11502_1	12
Spis11513_1	7
Spis11514_1	17
Spis11518_1	7
Spis11519_1	0
Spis11538_1	0
Spis11558_1	50
Spis11585_1	10
Spis11596_1	8
Spis11597_1	175
Spis11598_1	21
Spis11607_1	0
Spis11608_1	4
Spis11609_1	127
Spis11611_1	51
Spis11646_1	6
Spis11647_1	2
Spis11648_1	14
Spis11661_1	2
Spis11664_1	30
Spis11665_1	11
Spis11667_1	1
Spis11687_1	1
Spis11688_1	0
Spis11689_1	1
Spis11695_1	1
Spis11696_1	26
Spis11697_1	1
Spis11699_1	4
Spis11701_1	5
Spis11709_1	1
Spis11710_1	2
Spis11716_1	45
Spis11730_1	17
Spis11734_1	0
Spis11749_1	1
Spis11752_1	10
Spis11793_1	21
Spis11794_1	9
Spis11798_1	5
Spis11800_1	1
Spis11801_1	8
Spis11806_1	2
Spis11808_1	5
Spis11809_1	36
Spis11810_1	39
Spis11811_1	53
Spis11812_1	86
Spis11813_1	16
Spis11816_1	3
Spis11817_1	29
Spis11819_1	37
Spis11820_1	0
Spis11822_1	9
Spis11847_1	1
Spis11849_1	10
Spis11850_1	0
Spis11865_1	39
Spis11866_1	20
Spis11868_1	3
Spis11915_1	16
Spis11917_1	0
Spis11919_1	7
Spis11922_1	3
Spis11944_1	0
Spis11945_1	0
Spis11947_1	2
Spis11973_1	1
Spis11974_1	0
Spis11979_1	1
Spis11980_1	6
Spis11981_1	5
Spis11982_1	0
Spis11983_1	0
Spis11984_1	1
Spis11988_1	0
Spis11993_1	0
Spis12001_1	5
Spis12003_1	0
Spis12018_1	0
Spis12045_1	0
Spis12055_1	39
Spis12066_1	26
Spis12090_1	0
Spis12104_1	7
Spis12109_1	0
Spis1210_1	4
Spis12151_1	0
Spis12155_1	0
Spis12160_1	9
Spis12193_1	1
Spis12194_1	29
Spis12197_1	10
Spis12217_1	0
Spis12218_1	6
Spis12220_1	2
Spis12222_1	13
Spis12227_1	3
Spis12249_1	8
Spis12250_1	0
Spis12252_1	9
Spis12254_1	0
Spis12258_1	0
Spis12259_1	1
Spis12260_1	9
Spis12261_1	8
Spis12263_1	0
Spis12267_1	116
Spis12268_1	11
Spis12289_1	0
Spis12290_1	0
Spis1229_1	32
Spis1230_1	0
Spis12315_1	2
Spis12318_1	36
Spis12320_1	4
Spis12326_1	2
Spis12352_1	2
Spis12366_1	0
Spis12367_1	1
Spis12374_1	9
Spis12375_1	2
Spis12379_1	0
Spis12387_1	12
Spis12389_1	6
Spis12391_1	62
Spis12393_1	130
Spis12406_1	6
Spis12412_1	35
Spis12413_1	7
Spis12428_1	0
Spis12466_1	1
Spis12467_1	0
Spis12469_1	1
Spis12470_1	325
Spis12474_1	4
Spis12480_1	1
Spis12497_1	1
Spis12498_1	0
Spis12505_1	43
Spis12508_1	0
Spis1253_1	2
Spis12568_1	0
Spis12594_1	10
Spis12597_1	6
Spis12599_1	6
Spis12638_1	22
Spis12642_1	0
Spis12646_1	9
Spis1264_1	0
Spis12654_1	8
Spis12655_1	9
Spis1265_1	1
Spis12664_1	3
Spis12674_1	0
Spis12675_1	13
Spis1267_1	30
Spis12692_1	0
Spis12694_1	1
Spis12695_1	1
Spis12698_1	98
Spis12704_1	1
Spis12706_1	0
Spis12711_1	2
Spis12733_1	4
Spis12735_1	6
Spis12737_1	24
Spis12771_1	0
