Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
ABNV0001	SB0001	ABNV0001	Adult	black
ABNV0002	SB0001	ABNV0002	Adult	black
ABNV0003	SB0001	ABNV0003	Adult	black
ABNV0004	SB0001	ABNV0004	Adult	black
ABNV0005	SB0001	ABNV0005	Adult	black
ABNV0006	SB0001	ABNV0006	Adult	black
ABNV0007	SB0001	ABNV0007	Adult	black
ABNV0008	SB0001	ABNV0008	Adult	black
ABNV0009	SB0001	ABNV0009	Adult	black
ABNV0010	SB0001	ABNV0010	Adult	black
ABNV0011	SB0001	ABNV0011	Adult	black
ABNV0012	SB0001	ABNV0012	Adult	black
ABNV0013	SB0001	ABNV0013	Adult	black
ABNV0014	SB0001	ABNV0014	Adult	black
ABNV0015	SB0001	ABNV0015	Adult	black
ABNV0016	SB0001	ABNV0016	Adult	black
ABNV0017	SB0001	ABNV0017	Adult	black
ABNV0018	SB0001	ABNV0018	Adult	black
ABNV0019	SB0001	ABNV0019	Adult	black
ABNV0020	SB0001	ABNV0020	Adult	black
ABNV0021	SB0001	ABNV0021	Adult	black
ABNV0022	SB0001	ABNV0022	Adult	black
ABNV0023	SB0001	ABNV0023	Juvenile	grey55
ABNV0024	SB0001	ABNV0024	Juvenile	grey55
ABNV0025	SB0001	ABNV0025	Juvenile	grey55
ABNV0026	SB0001	ABNV0026	Juvenile	grey55
ABNV0027	SB0001	ABNV0027	Juvenile	grey55
ABNV0028	SB0001	ABNV0028	Juvenile	grey55
ABNV0029	SB0001	ABNV0029	Juvenile	grey55
ABNV0030	SB0001	ABNV0030	Juvenile	grey55
ABNV0031	SB0001	ABNV0031	Adult	black
ABNV0032	SB0001	ABNV0032	Adult	black
ABNV0047	SB0001	ABNV0047	Adult_v2	coral2
ABNV0048	SB0001	ABNV0048	Adult_v2	coral2
ABNV0049	SB0001	ABNV0049	Adult_v2	coral2
ABNV0050	SB0001	ABNV0050	Adult_v2	coral2
ABNV0051	SB0001	ABNV0051	Adult_v2	coral2
ABNV0052	SB0001	ABNV0052	Adult_v2	coral2
ABNV0053	SB0001	ABNV0053	Adult_v2	coral2
ABNV0054	SB0001	ABNV0054	Adult_v2	coral2
ABNV0063	SB0001	ABNV0063	Aboral_ends_1	navajowhite2
ABNV0064	SB0001	ABNV0064	Aboral_ends_1	navajowhite2
ABNV0065	SB0001	ABNV0065	Aboral_ends_1	navajowhite2
ABNV0066	SB0001	ABNV0066	Aboral_ends_1	navajowhite2
ABNV0067	SB0001	ABNV0067	Aboral_ends_1	navajowhite2
ABNV0068	SB0001	ABNV0068	Aboral_ends_1	navajowhite2
ABNV0069	SB0001	ABNV0069	Aboral_ends_2	navajowhite3
ABNV0070	SB0001	ABNV0070	Aboral_ends_2	navajowhite3
ABNV0071	SB0001	ABNV0071	Aboral_ends_2	navajowhite3
ABNV0072	SB0001	ABNV0072	Aboral_ends_2	navajowhite3
ABNV0073	SB0001	ABNV0073	Aboral_ends_2	navajowhite3
ABNV0074	SB0001	ABNV0074	Aboral_ends_2	navajowhite3
ABNV0075	SB0001	ABNV0075	Aboral_ends_2	navajowhite3
ABNV0076	SB0001	ABNV0076	Aboral_ends_2	navajowhite3
ABNV0077	SB0001	ABNV0077	Aboral_ends_2	navajowhite3
ABNV0078	SB0001	ABNV0078	Aboral_ends_2	navajowhite3
ABNV0079	SB0001	ABNV0079	Aboral_ends_2	navajowhite3
ABNV0080	SB0001	ABNV0080	Aboral_ends_2	navajowhite3
ABNV0095	SB0001	ABNV0095	Adult_v2_3	gold3
ABNV0096	SB0001	ABNV0096	Adult_v2_3	gold3
ABNV0097	SB0001	ABNV0097	Adult_v2_3	gold3
ABNV0098	SB0001	ABNV0098	Adult_v2_3	gold3
ABNV0099	SB0001	ABNV0099	Adult_v2_3	gold3
ABNV0100	SB0001	ABNV0100	Adult_v2_3	gold3
ABNV0101	SB0001	ABNV0101	Adult_v2_3	gold3
ABNV0102	SB0001	ABNV0102	Adult_v2_3	gold3
ABNV0103	SB0001	ABNV0103	Adult_v2_3	gold3
ABNV0104	SB0001	ABNV0104	Adult_v2_3	gold3
ABNV0105	SB0001	ABNV0105	Adult_v2_3	gold3
ABNV0106	SB0001	ABNV0106	Adult_v2_3	gold3
ABNV0107	SB0001	ABNV0107	Adult_v2_3	gold3
ABNV0108	SB0001	ABNV0108	Adult_v2_3	gold3
ABNV0109	SB0001	ABNV0109	Adult_v2_3	gold3
ABNV0110	SB0001	ABNV0110	Adult_v2_3	gold3
ABNV0111	SB0001	ABNV0111	Adult_v3	tan2
ABNV0112	SB0001	ABNV0112	Adult_v3	tan2
ABNV0113	SB0001	ABNV0113	Adult_v3	tan2
ABNV0114	SB0001	ABNV0114	Adult_v3	tan2
ABNV0115	SB0001	ABNV0115	Adult_v3	tan2
ABNV0116	SB0001	ABNV0116	Adult_v3	tan2
ABNV0117	SB0001	ABNV0117	Adult_v3	tan2
ABNV0118	SB0001	ABNV0118	Adult_v3	tan2
ABNV0119	SB0001	ABNV0119	Adult_v3	tan2
ABNV0120	SB0001	ABNV0120	Adult_v3	tan2
ABNV0121	SB0001	ABNV0121	Adult_v3	tan2
ABNV0122	SB0001	ABNV0122	Adult_v3	tan2
ABNV0123	SB0001	ABNV0123	Adult_v3	tan2
ABNV0124	SB0001	ABNV0124	Adult_v3	tan2
ABNV0125	SB0001	ABNV0125	Adult_v3	tan2
ABNV0126	SB0001	ABNV0126	Adult_v3	tan2
