cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSETLV0001001	947	12	541	35705	54
WSETLV0001002	635	23	459	36891	71
WSETLV0001003	257	17	844	84811	80
WSETLV0001004	838	10	857.5	88011	78
WSETLV0001006	278	39	371.5	41857	90
WSETLV0001007	1293	19	762	74309	85
WSETLV0001008	295	4	302	20392	56
WSETLV0001009	873	47	478	71014	125
WSETLV0001011	838	47	478	71014	125
WSETLV0001014	323	15	398	29634	68
WSETLV0001015	764	10	857.5	88011	78
WSETLV0001017	437	34	1067	121013	101
WSETLV0001019	281	45	476	24171	43
WSETLV0001020	1053	10	857.5	88011	78
WSETLV0001023	499	38	914.5	77933	80
WSETLV0001025	301	11	333.5	19598	52
WSETLV0001026	578	47	478	71014	125
WSETLV0001027	796	36	783.5	35009	40
WSETLV0001028	1358	28	1192	140861	98
WSETLV0001030	375	12	541	35705	54
WSETLV0001031	1151	38	914.5	77933	80
WSETLV0001032	201	4	302	20392	56
WSETLV0001033	732	47	478	71014	125
WSETLV0001034	586	47	478	71014	125
WSETLV0001035	561	47	478	71014	125
WSETLV0001036	1444	8	1331	97851	64
WSETLV0001037	1253	10	857.5	88011	78
WSETLV0001038	598	27	941.5	70842	60
WSETLV0001040	175	36	783.5	35009	40
WSETLV0001042	1968	47	478	71014	125
WSETLV0001043	816	14	767	47027	53
WSETLV0001046	388	15	398	29634	68
WSETLV0001049	988	35	787	93532	97
WSETLV0001050	349	40	639	56324	74
WSETLV0001051	441	38	914.5	77933	80
WSETLV0001052	397	38	914.5	77933	80
WSETLV0001053	765	38	914.5	77933	80
WSETLV0001054	234	39	371.5	41857	90
WSETLV0001055	1011	47	478	71014	125
WSETLV0001057	359	36	783.5	35009	40
WSETLV0001058	986	19	762	74309	85
WSETLV0001059	475	24	765.5	22537	24
WSETLV0001060	291	10	857.5	88011	78
WSETLV0001061	215	40	639	56324	74
WSETLV0001063	1047	38	914.5	77933	80
WSETLV0001064	207	4	302	20392	56
WSETLV0001065	1119	38	914.5	77933	80
WSETLV0001066	558	19	762	74309	85
WSETLV0001067	683	47	478	71014	125
WSETLV0001068	184	46	323	18263	35
WSETLV0001069	243	4	302	20392	56
WSETLV0001071	918	30	1212	130854	96
WSETLV0001072	673	40	639	56324	74
WSETLV0001073	327	39	371.5	41857	90
WSETLV0001075	606	1	719	47160	43
WSETLV0001076	791	17	844	84811	80
WSETLV0001077	286	23	459	36891	71
WSETLV0001080	525	10	857.5	88011	78
WSETLV0001081	675	35	787	93532	97
WSETLV0001082	683	26	1096	128756	97
WSETLV0001084	424	38	914.5	77933	80
WSETLV0001085	514	20	526	82284	108
WSETLV0001086	533	39	371.5	41857	90
WSETLV0001087	419	47	478	71014	125
WSETLV0001088	1055	3	1129.5	139782	108
WSETLV0001089	2688	27	941.5	70842	60
WSETLV0001090	2016	28	1192	140861	98
WSETLV0001091	1059	21	578	46864	71
WSETLV0001092	649	2	686	52725	63
WSETLV0001093	212	46	323	18263	35
WSETLV0001094	441	47	478	71014	125
WSETLV0001097	658	13	737.5	75624	86
WSETLV0001098	273	12	541	35705	54
WSETLV0001099	520	25	422.5	18412	40
WSETLV0001100	550	20	526	82284	108
WSETLV0001101	396	31	931	57903	51
WSETLV0001102	677	31	931	57903	51
WSETLV0001103	1310	7	1204	128168	80
WSETLV0001104	299	23	459	36891	71
WSETLV0001105	368	12	541	35705	54
