metacell	gene	cell_type	color
1	Spis_XP_022787371_1	cnidocyte	plum3
1	Spis_XP_022799416_1	cnidocyte	plum3
1	Spis18343_1	cnidocyte	plum3
1	Spis_XP_022797422_1	cnidocyte	plum3
1	Spis_XP_022796493_1	cnidocyte	plum3
1	Spis_XP_022789499_1	cnidocyte	plum3
1	Spis_XP_022806650_1	cnidocyte	plum3
1	Spis_XP_022787040_1	cnidocyte	plum3
1	Spis_XP_022786325_1	cnidocyte	plum3
1	Spis_XP_022779932_1	cnidocyte	plum3
3	Spis_XP_022786917_1	gastrodermis	chartreuse4
3	Spis_XP_022785263_1	gastrodermis	chartreuse4
3	Spis_XP_022793420_1	gastrodermis	chartreuse4
3	Spis_XP_022809885_1	gastrodermis	chartreuse4
3	Spis_XP_022806376_1	gastrodermis	chartreuse4
4	Spis_XP_022781398_1	gastrodermis	chartreuse4
5	Spis_XP_022795065_1	gastrodermis	chartreuse4
5	Spis_XP_022786664_1	gastrodermis	chartreuse4
5	Spis_XP_022784015_1	gastrodermis	chartreuse4
5	Spis_XP_022786676_1	gastrodermis	chartreuse4
5	Spis_XP_022784036_1	gastrodermis	chartreuse4
6	Spis_XP_022779255_1	gastrodermis	chartreuse4
6	Spis_XP_022799213_1	gastrodermis	chartreuse4
6	Spis_XP_022783839_1	gastrodermis	chartreuse4
6	Spis_XP_022779256_1	gastrodermis	chartreuse4
6	Spis_XP_022793353_1	gastrodermis	chartreuse4
7	Spis_XP_022794351_1	gastrodermis	chartreuse4
7	Spis_XP_022802206_1	gastrodermis	chartreuse4
7	Spis_XP_022781017_1	gastrodermis	chartreuse4
8	Spis_XP_022806051_1	gastrodermis	chartreuse4
9	Spis_XP_022788977_1	gastrodermis	chartreuse4
9	Spis_XP_022779176_1	gastrodermis	chartreuse4
9	Spis_XP_022804308_1	gastrodermis	chartreuse4
9	Spis_XP_022780951_1	gastrodermis	chartreuse4
11	Spis_XP_022807516_1	gastrodermis	chartreuse4
11	Spis_XP_022790132_1	gastrodermis	chartreuse4
11	Spis_XP_022788851_1	gastrodermis	chartreuse4
12	Spis_XP_022802432_1	epidermis_1	turquoise3
13	Spis_XP_022809005_1	epidermis_1	turquoise3
13	Spis_XP_022778950_1	epidermis_1	turquoise3
14	Spis_XP_022790615_1	epidermis_1	turquoise3
15	Spis_XP_022781019_1	epidermis_1	turquoise3
16	Spis_XP_022806535_1	epidermis_1	turquoise3
16	Spis_XP_022787864_1	epidermis_1	turquoise3
17	Spis_XP_022798424_1	epidermis_1	turquoise3
17	Spis_XP_022786186_1	epidermis_1	turquoise3
17	Spis_XP_022781462_1	epidermis_1	turquoise3
18	Spis_XP_022797242_1	epidermis_1	turquoise3
20	Spis_XP_022785063_1	epidermis_1	turquoise3
20	Spis_XP_022778928_1	epidermis_1	turquoise3
20	Spis_LOC111334563	epidermis_1	turquoise3
21	Spis_XP_022803774_1	epidermis_1	turquoise3
21	Spis_XP_022796010_1	epidermis_1	turquoise3
22	Spis_XP_022788591_1	epidermis_1	turquoise3
23	Spis_XP_022803859_1	epidermis_1	turquoise3
