gene	gene_umis
Xesp_000001	21
Xesp_000002	3
Xesp_000003	1
Xesp_000004	13
Xesp_000005	0
Xesp_000006	113
Xesp_000007	399
Xesp_000008	1132
Xesp_000009	14
Xesp_000010	249
Xesp_000011	4
Xesp_000012	79
Xesp_000013	12
Xesp_000014	61
Xesp_000015	73
Xesp_028798	20
Xesp_000016	1
Xesp_000017	74
Xesp_000018	3429
Xesp_000019	43
Xesp_000020	22
Xesp_000021	0
Xesp_000022	50
Xesp_000023	137
Xesp_000024	153
Xesp_000025	38
Xesp_000026	129
Xesp_000027	1
Xesp_000028	26
Xesp_000029	98
Xesp_000030	67
Xesp_000031	0
Xesp_000032	72
Xesp_000033	0
Xesp_000034	66
Xesp_000035	25
Xesp_000036	53
Xesp_000037	209
Xesp_000038	46
Xesp_000039	0
Xesp_000040	38
Xesp_000041	11
Xesp_000042	1
Xesp_000043	45
Xesp_000044	27
Xesp_000045	52
Xesp_000046	4
Xesp_000047	36
Xesp_000048	112
Xesp_000049	36
Xesp_000050	0
Xesp_000051	2
Xesp_000052	343
Xesp_000053	0
Xesp_000054	11
Xesp_000055	44
Xesp_000056	83
Xesp_000057	0
Xesp_000058	2
Xesp_000059	106
Xesp_000060	1
Xesp_000061	38
Xesp_000062	5
Xesp_000063	28
Xesp_000064	2
Xesp_000065	53
Xesp_000066	23
Xesp_000067	23
Xesp_000068	38
Xesp_000069	345
Xesp_000070	8
Xesp_000071	6
Xesp_000072	9
Xesp_000073	1
Xesp_000074	6
Xesp_000075	4
Xesp_000076	8
Xesp_000077	1
Xesp_000078	60
Xesp_000079	67
Xesp_000080	36
Xesp_000081	104
Xesp_000082	1554
Xesp_000083	732
orphan_peak_76	1804
Xesp_000084	9
Xesp_000085	54
Xesp_000086	0
Xesp_000087	61
Xesp_000088	18
Xesp_000089	19
Xesp_000090	84
Xesp_000091	0
Xesp_000092	12391
orphan_peak_82	3519
Xesp_000093	2
Xesp_000094	61
Xesp_000095	82
Xesp_000096	68
Xesp_000097	4
Xesp_000098	73
Xesp_000099	0
Xesp_000100	0
Xesp_000101	21
Xesp_000102	9
Xesp_000103	115
Xesp_000104	0
Xesp_000105	14
Xesp_000106	7
Xesp_000107	161
Xesp_000108	18
Xesp_000110	55
Xesp_000109	34
Xesp_000111	208
Xesp_000112	12
Xesp_000113	49
Xesp_000114	219
Xesp_000115	0
Xesp_000116	32
Xesp_000117	136
Xesp_000118	10
Xesp_000119	0
Xesp_000120	189
Xesp_000121	54
Xesp_000122	398
Xesp_000123	3
orphan_peak_107	16425
Xesp_000124	1943
Xesp_000125	634
Xesp_000127	0
Xesp_000128	16
Xesp_000129	3
Xesp_000130	76
Xesp_000131	12
Xesp_000132	150
Xesp_000133	169
Xesp_000134	70
Xesp_000135	0
Xesp_000136	11
Xesp_000137	24
Xesp_000138	42
Xesp_000139	0
Xesp_000140	0
Xesp_000141	93
Xesp_000142	92
Xesp_000143	123
Xesp_000144	150
Xesp_000145	5
orphan_peak_119	502
Xesp_000146	11
Xesp_000147	157
Xesp_000148	389
Xesp_000149	5232
Xesp_000150	5810
Xesp_000151	12407
orphan_peak_122	500
Xesp_000152	179
Xesp_000153	2
Xesp_000154	786
Xesp_000155	73
Xesp_000156	10
Xesp_000157	372
orphan_peak_134	1693
Xesp_000158	640
Xesp_000159	2
Xesp_028799	43
Xesp_000160	0
Xesp_000161	29
Xesp_000162	1
Xesp_000163	16
Xesp_000164	85
Xesp_000165	4
Xesp_000166	0
Xesp_000167	0
Xesp_000168	10
Xesp_000169	60
Xesp_000170	32
Xesp_000171	68
Xesp_000172	10
Xesp_000173	800
Xesp_000174	345
Xesp_000175	788
Xesp_000177	1376
Xesp_000176	310
Xesp_000178	2280
Xesp_000179	373
Xesp_000180	1137
Xesp_000182	2075
Xesp_000181	128
Xesp_000183	521
Xesp_000184	1095
Xesp_000185	1375
Xesp_000186	6
Xesp_000187	67
Xesp_000188	374
Xesp_000189	357
orphan_peak_149	376
Xesp_000190	180
Xesp_000191	11
Xesp_000192	67
Xesp_000193	2002
Xesp_000194	410
Xesp_000195	0
Xesp_000196	4
Xesp_000197	1075
Xesp_000198	2201
Xesp_000199	444
Xesp_000200	506
Xesp_000201	719
orphan_peak_154	1352
Xesp_000202	25734
Xesp_000203	465
Xesp_000204	29
Xesp_000205	27
Xesp_000206	14
Xesp_000207	158
Xesp_000208	94
Xesp_000209	5776
Xesp_000210	1265
Xesp_000211	241
Xesp_000212	1811
Xesp_000213	1894
Xesp_000214	7
Xesp_000215	3542
Xesp_000216	508
orphan_peak_162	1903
orphan_peak_164	716
orphan_peak_163	453
Xesp_000217	2266
orphan_peak_165	2202
Xesp_000218	2851
Xesp_000220	30
Xesp_000219	151
Xesp_000221	424
Xesp_000222	9020
Xesp_000223	839
Xesp_000224	1125
Xesp_000225	754
Xesp_000226	12752
Xesp_000227	1955
Xesp_000228	1062
Xesp_000229	80
Xesp_000230	17
Xesp_000231	34
Xesp_000232	121
Xesp_000233	248
Xesp_000234	48
Xesp_000235	2
Xesp_000236	348
Xesp_000237	672
Xesp_000238	2718
Xesp_000239	905
Xesp_000240	15
Xesp_000241	257
Xesp_000242	1517
Xesp_000243	136706
Xesp_000244	575
Xesp_000245	6963
Xesp_000246	639
Xesp_000247	1059
Xesp_000248	5358
orphan_peak_179	503
Xesp_000249	158
Xesp_000250	3577
Xesp_000251	1732
Xesp_000252	836
Xesp_000253	31380
Xesp_000254	6011
Xesp_000256	913
Xesp_000257	10754
Xesp_000258	1801
Xesp_000259	77
Xesp_000260	236
Xesp_000261	57554
Xesp_000262	1820
Xesp_000263	552
Xesp_000264	1339
Xesp_000265	25458
Xesp_000266	355
Xesp_000267	6985
Xesp_000268	250
Xesp_000269	613
Xesp_000271	0
Xesp_000272	3
Xesp_000273	0
Xesp_000274	415
Xesp_000275	10
Xesp_000276	1
Xesp_000277	65
Xesp_000278	5
Xesp_000279	22
Xesp_000280	0
Xesp_000281	339
Xesp_000282	637
Xesp_000283	22
Xesp_000284	562
Xesp_000285	1669
orphan_peak_192	10689
Xesp_000286	141
Xesp_000287	676
Xesp_000289	335
Xesp_000288	29
Xesp_000290	193
Xesp_000291	3544
Xesp_000292	1189
Xesp_000293	41469
Xesp_000294	651
Xesp_000295	477
Xesp_000296	1779
Xesp_000297	457
Xesp_000298	229
Xesp_000299	14
Xesp_000300	320
Xesp_000301	44
Xesp_000303	1212
Xesp_000304	5168
Xesp_000305	1040
Xesp_000306	2792
Xesp_000307	705
Xesp_000308	1615
Xesp_000309	4438
orphan_peak_203	2033
Xesp_000310	999
Xesp_000311	42
Xesp_000312	0
Xesp_000313	0
orphan_peak_204	359
Xesp_000314	0
Xesp_000315	493
Xesp_000317	108
Xesp_000316	382
Xesp_000318	58
Xesp_000319	20
Xesp_000320	174
Xesp_000321	38
Xesp_000322	69
orphan_peak_211	451
Xesp_000323	35
Xesp_000324	2
Xesp_000325	3
Xesp_000326	84
Xesp_000327	0
Xesp_000328	73
Xesp_000329	17
Xesp_000330	8
Xesp_000331	3
Xesp_000332	1
Xesp_000333	16
Xesp_000334	115
Xesp_000335	22
Xesp_000336	2
Xesp_000337	1171
Xesp_000338	11025
Xesp_000339	23
Xesp_000340	0
Xesp_000341	13
Xesp_000342	2187
Xesp_000343	0
Xesp_000344	147561
Xesp_000345	85796
Xesp_000346	131
Xesp_000347	1213
Xesp_000348	2595
Xesp_000349	295
Xesp_000350	568
Xesp_000351	999
Xesp_000353	8355
Xesp_000352	344
Xesp_000354	1382
Xesp_000355	103
Xesp_000356	5318
Xesp_000357	89
Xesp_000358	2408
Xesp_000359	61
Xesp_000360	9396
Xesp_000362	1596
Xesp_000361	531
Xesp_028800	127
Xesp_000363	1963
Xesp_000364	101
Xesp_000365	1300
Xesp_000366	2101
Xesp_000367	928
Xesp_000368	145
Xesp_000369	5860
orphan_peak_230	1463
Xesp_000370	1786
Xesp_000371	266
Xesp_000372	1794
Xesp_000373	15801
Xesp_000374	6324
Xesp_000375	751
Xesp_000376	379
Xesp_000377	2515
Xesp_000378	4294
Xesp_000379	1146
Xesp_000380	29
Xesp_000381	345
Xesp_000382	44
Xesp_000383	3
Xesp_000384	1128
Xesp_000385	757
Xesp_000386	65
Xesp_000387	370
Xesp_000388	566
Xesp_000389	10321
Xesp_000390	785
Xesp_000391	2906
Xesp_000392	2338
Xesp_000393	3831
Xesp_000394	1351
Xesp_000395	82
Xesp_000396	1060
Xesp_000397	20245
Xesp_000398	848
Xesp_000400	2397
orphan_peak_244	336
Xesp_000403	2511
Xesp_000401	610
Xesp_000402	4189
Xesp_000404	703
Xesp_000405	202
Xesp_000406	2228
orphan_peak_249	2830
Xesp_000407	415
Xesp_000408	593
Xesp_000409	460
Xesp_000410	33873
Xesp_000411	492
Xesp_000412	128
Xesp_000413	348
orphan_peak_251	596
orphan_peak_250	354
orphan_peak_252	992
Xesp_000414	3582
Xesp_000415	846
Xesp_000416	4713
Xesp_028801	2133
Xesp_000417	11
Xesp_000418	1666
Xesp_000419	56
Xesp_000420	122
Xesp_000421	2074
Xesp_000422	97
Xesp_000423	815
Xesp_000424	2
Xesp_000425	354
Xesp_000426	420
Xesp_000427	944
Xesp_000428	5
Xesp_000429	1032
Xesp_000430	1177
Xesp_000431	12436
Xesp_000432	53149
orphan_peak_258	315
Xesp_000433	552
Xesp_000434	371
Xesp_000435	578
Xesp_000436	476
Xesp_000437	431
Xesp_000438	592
orphan_peak_261	955
Xesp_000439	77
Xesp_000440	71
Xesp_000441	106
Xesp_000442	2381
Xesp_000443	1402
Xesp_000444	418
Xesp_000445	395
Xesp_000446	235
Xesp_000447	61
Xesp_000448	2
Xesp_000449	281
Xesp_000450	33
Xesp_000451	11
Xesp_000452	483
Xesp_000453	251
Xesp_000454	205
Xesp_000455	2110
Xesp_000456	208
Xesp_000457	1762
Xesp_000458	19388
Xesp_000459	1179
Xesp_000460	344
Xesp_000461	7
Xesp_000462	49
Xesp_000463	774
Xesp_000464	537
Xesp_000465	1835
Xesp_000466	5452
Xesp_000467	391
Xesp_000468	2413
Xesp_028802	10061
Xesp_000469	1131
Xesp_000470	4510
Xesp_000471	203
Xesp_000472	598
Xesp_000473	255
Xesp_000474	6533
Xesp_000475	78
Xesp_000476	1485
Xesp_000477	1128
Xesp_000478	7
Xesp_000479	383
Xesp_000480	12320
Xesp_000481	1166
Xesp_000482	4906
Xesp_000483	152
Xesp_000484	320
orphan_peak_281	4277
Xesp_000485	161
Xesp_000486	1414
Xesp_000487	1486
Xesp_000488	892
Xesp_028803	403
Xesp_000489	361
Xesp_000490	5
Xesp_000491	2
Xesp_000492	45
Xesp_000493	2
Xesp_000494	3876
Xesp_000495	123
Xesp_000496	1353
Xesp_000497	3128
Xesp_000498	586
Xesp_000499	5831
Xesp_000500	1371
Xesp_000502	573
Xesp_000503	375
Xesp_000504	156
Xesp_000505	160
Xesp_000506	1153
Xesp_000507	200
Xesp_000508	2559
Xesp_000509	139
Xesp_000510	817
Xesp_000511	315
Xesp_000512	451
Xesp_000513	50
Xesp_000514	145
Xesp_000515	751
Xesp_000516	2971
Xesp_000517	3798
orphan_peak_288	304
Xesp_000518	17840
Xesp_000519	36104
Xesp_000520	62
Xesp_000521	368
Xesp_000522	438
Xesp_000523	340
Xesp_000524	1529
orphan_peak_293	2123
orphan_peak_294	401
Xesp_000525	4166
Xesp_000526	2330
Xesp_000527	116
Xesp_000528	881
Xesp_000529	11
Xesp_000530	16
Xesp_000531	346
Xesp_000532	193
Xesp_000533	66
Xesp_000534	273
Xesp_000535	1095
Xesp_000536	426
Xesp_000537	1201
Xesp_000538	274
orphan_peak_299	987
Xesp_000539	229
Xesp_000540	331
Xesp_000541	3177
Xesp_000542	531
Xesp_000543	1461
Xesp_000544	2723
Xesp_000545	5293
Xesp_000547	2816
Xesp_000546	35
Xesp_000548	216
Xesp_000549	0
Xesp_000550	138
Xesp_000551	755
Xesp_000552	1365
Xesp_000553	14
Xesp_000554	3047
Xesp_000555	79
Xesp_000556	0
Xesp_000557	0
Xesp_000560	5
Xesp_000558	6
Xesp_000559	1
Xesp_000561	793
Xesp_000562	12
Xesp_000563	1220
Xesp_000564	430
Xesp_000565	54
Xesp_000566	254
Xesp_000567	80
Xesp_000568	1219
Xesp_000569	1488
Xesp_000570	3422
Xesp_000571	544
Xesp_000572	580
Xesp_000573	347
Xesp_000574	0
Xesp_000575	553
Xesp_000576	4
Xesp_000577	2
Xesp_000578	192
Xesp_000579	2698
Xesp_000580	328
Xesp_000581	1656
Xesp_000582	689
Xesp_000584	259
orphan_peak_311	5499
Xesp_000585	7710
Xesp_000586	4149
Xesp_000587	6249
Xesp_000588	893
Xesp_000589	347
Xesp_000590	3424
Xesp_000591	242
Xesp_000592	2729
Xesp_000593	479
Xesp_000594	8465
Xesp_000595	142
orphan_peak_317	1578
Xesp_000596	1524
Xesp_000597	1097
Xesp_000598	419
Xesp_000599	497
Xesp_000600	42
Xesp_000601	594
Xesp_000602	1499
Xesp_000603	992
Xesp_000604	54
Xesp_000605	154
Xesp_000606	3
Xesp_000607	0
Xesp_000608	70
Xesp_000609	647
Xesp_000610	678
Xesp_000611	2792
Xesp_000612	7221
Xesp_000613	143
orphan_peak_323	579
Xesp_000614	731
orphan_peak_324	619
Xesp_000615	718
Xesp_000616	2119
Xesp_000617	819
Xesp_000618	2
orphan_peak_326	801
Xesp_000619	476
Xesp_000620	1742
Xesp_000621	840
Xesp_000622	21547
Xesp_000623	565
orphan_peak_328	338
Xesp_000624	17139
Xesp_000625	1896
orphan_peak_330	1057
Xesp_000626	118
Xesp_000627	64
orphan_peak_332	495
Xesp_000628	391
Xesp_000629	4
Xesp_000630	920
Xesp_000631	11
Xesp_000632	8
Xesp_000633	0
Xesp_000634	0
Xesp_000635	0
Xesp_000636	0
Xesp_000637	0
Xesp_000638	0
Xesp_000639	0
Xesp_000640	0
Xesp_000641	0
Xesp_000642	0
Xesp_000643	1
Xesp_000644	0
Xesp_000645	0
Xesp_000646	0
Xesp_000647	5
Xesp_000648	0
Xesp_000649	0
orphan_peak_346	998
Xesp_000650	1
Xesp_000651	15
Xesp_000652	0
Xesp_000653	0
Xesp_000654	0
Xesp_000655	369
Xesp_000656	139
Xesp_000657	659
Xesp_000658	1613
Xesp_000659	854
Xesp_000660	496
Xesp_000661	12
Xesp_000662	360
Xesp_000663	221
Xesp_000664	1
Xesp_000665	35
Xesp_000666	1356
Xesp_000667	225
Xesp_000668	2062
Xesp_000669	6316
Xesp_000670	1799
Xesp_000671	2232
Xesp_000672	808
Xesp_028804	4600
Xesp_000673	6080
Xesp_000674	263
Xesp_000675	615
Xesp_000676	185
Xesp_000677	35
Xesp_000678	58
Xesp_000679	604
Xesp_000680	1223
Xesp_000681	1383
Xesp_000682	1880
Xesp_000683	51
Xesp_000684	6720
Xesp_000685	19807
Xesp_000686	324
Xesp_000687	1319
Xesp_000688	549
Xesp_028805	1685
Xesp_000689	34
Xesp_000690	390
Xesp_000691	1259
Xesp_000692	1524
Xesp_000693	2499
Xesp_000694	2446
Xesp_028806	110
Xesp_000695	97
Xesp_000696	2744
Xesp_000697	117
Xesp_000698	6885
Xesp_000699	554
Xesp_000700	2406
Xesp_000701	2486
Xesp_000702	205
Xesp_000703	1983
Xesp_000704	443
Xesp_000705	4
Xesp_000706	1728
Xesp_000707	242
Xesp_000708	470
Xesp_000709	514
Xesp_000710	488
Xesp_000711	137
Xesp_000712	3742
Xesp_000713	4689
orphan_peak_366	410
Xesp_000714	4
Xesp_000715	9
Xesp_000716	224
orphan_peak_369	886
Xesp_000717	37
Xesp_000718	952
Xesp_000719	268
Xesp_000720	159
Xesp_000721	39
orphan_peak_371	680
Xesp_000722	61
orphan_peak_372	1252
Xesp_000723	23
Xesp_000725	881
Xesp_000724	349
Xesp_000726	408
Xesp_000727	403
Xesp_000728	4695
Xesp_000729	2906
Xesp_000730	191
Xesp_000731	1526
Xesp_000732	59
Xesp_000733	2626
Xesp_000734	6072
Xesp_000735	120
Xesp_000736	2381
Xesp_000737	1007
Xesp_000738	2764
orphan_peak_380	339
Xesp_000739	3509
Xesp_000740	2594
Xesp_000741	1580
Xesp_000742	29
Xesp_000743	681
Xesp_000744	1067
Xesp_000745	344
Xesp_000746	9
Xesp_000747	483
Xesp_000748	958
Xesp_000749	1136
orphan_peak_385	629
Xesp_000750	33
Xesp_000751	1421
Xesp_000752	1
Xesp_000753	4
Xesp_000754	5
Xesp_000755	114
Xesp_000756	387
Xesp_000757	501
Xesp_000758	2983
Xesp_000759	762
Xesp_000760	569
Xesp_000761	427
Xesp_000762	1223
Xesp_000763	327
Xesp_000764	15380
Xesp_000765	451
Xesp_000766	1246
Xesp_000767	1306
Xesp_000768	9367
Xesp_000769	2842
orphan_peak_389	444
Xesp_000770	644
Xesp_000771	527
Xesp_000772	1463
Xesp_000773	41
Xesp_000774	993
orphan_peak_392	969
Xesp_000775	8951
Xesp_000776	414
Xesp_000777	1047
Xesp_000779	395
Xesp_000778	284
Xesp_000780	370
Xesp_000781	4129
Xesp_000782	107
Xesp_000783	704
Xesp_000784	10
Xesp_000785	61
Xesp_000786	910
Xesp_000787	2144
Xesp_000788	80588
Xesp_000789	0
Xesp_000790	25
Xesp_000791	9
Xesp_000792	136
Xesp_000793	792
Xesp_000794	950
orphan_peak_400	498
Xesp_000795	1438
Xesp_000796	883
Xesp_000797	15
Xesp_000798	67
Xesp_000799	338
Xesp_000800	471
Xesp_000801	1460
Xesp_000802	3603
Xesp_000803	342
Xesp_000804	7
Xesp_000805	487
Xesp_000806	19365
Xesp_000807	193
Xesp_000808	393
Xesp_000809	4328
Xesp_000810	5239
Xesp_000811	6
Xesp_000812	4
Xesp_000813	5
Xesp_000814	836
