gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_000001	21	0.0008303	4	0.026	-0.002	1	0	0.0003724	1	1	1	0.0002399	0.0002399	0	0	4	750	no	-12.0252792219181
Xesp_000004	13	0.0005142	5	0.031	0.009	1	0	0.0002074	1	1	1	0.0002999	0.0002998	-0.000207414746396221	0	5	750	no	-11.7032308573428
Xesp_000006	113	0.0048474	38	0.051	-0.013	1	0	0.0031122	1	1	1	0.002279	0.0022739	-0.0027534824150553	-0.000102596102194341	38	750	no	-8.77738336005888
Xesp_000007	399	0.0172814	135	0.074	-0.041	1	0	0.0112226	2	2	2	0.0083363	0.0087472	0.0663396322788405	0.0190606219435981	135	750	no	-6.90637708757297
Xesp_000008	1132	0.0541073	352	0.153	-0.037	1	0	0.0284421	3	3	2	0.0223102	0.0244527	0.130085679066047	0.0488536912604319	352	750	no	-5.48615274308129
Xesp_000009	14	0.0005537	8	0.015	-0.008	1	0	0.0003871	1	1	1	0.0004798	0.0004796	-0.000329604237127865	-0.000152686404089752	8	750	no	-11.0252792219181
Xesp_000010	249	0.0117351	50	0.166	0.073	1	0	0.0030214	1	1	1	0.0029987	0.0029899	-0.0037450395790063	-6.26601526020616e-05	50	750	no	-8.38144708728416
Xesp_000012	79	0.0031165	16	0.047	-0.006	1	0	0.0019484	1	1	1	0.0009596	0.0009587	-0.000958346328843963	-6.70445199344138e-05	16	750	no	-10.0252792219181
Xesp_000013	12	0.0004746	3	0.016	-0.006	1	0	0.0002414	1	1	1	0.0001799	0.0001799	0	0	3	750	no	-12.4405171929601
Xesp_000014	61	0.0025664	12	0.072	0.028	1	0	0.0011688	2	1	1	0.0007797	0.0008991	0.139576278987427	0.140223134335777	12	750	no	-10.3247932450182
Xesp_000015	73	0.0033553	16	0.04	-0.009	1	0	0.0024379	1	1	1	0.0009596	0.0009587	-0.000958346328843963	-6.70445199344138e-05	16	750	no	-10.0252792219181
Xesp_028798	20	0.0007908	10	0.038	0.012	1	0	0.0003694	1	1	1	0.0005997	0.0005994	-0.000434869580704414	0	10	750	no	-10.7034714067458
Xesp_000017	74	0.0029198	24	0.049	0.001	1	0	0.0017538	1	1	1	0.0014394	0.0014374	-0.00157318240668838	-0.000109516568290654	24	750	no	-9.44031672119694
Xesp_000018	3429	0.1777492	1091	0.191	-0.101	1	0	0.1008854	4	3	3	0.0708888	0.0781029	0.139078491438329	0.0311759613248107	1091	750	yes	-3.81829848136266
Xesp_000019	43	0.0017779	12	0.014	-0.022	1	0	0.0014307	1	1	1	0.0007197	0.0007192	-0.000646855348350068	-9.99710781019973e-05	12	750	no	-10.4403167211969
Xesp_000020	22	0.0008698	7	0.037	0.009	1	0	0.0005549	1	1	1	0.0004198	0.0004197	-0.000176917833038113	0	7	750	no	-11.2180102129194
Xesp_000022	50	0.0019747	14	0.052	0.009	1	0	0.0012202	1	1	1	0.0008396	0.000839	-0.000700898529058018	0	14	750	no	-10.2180102129194
Xesp_000023	137	0.0057086	36	0.096	0.033	1	0	0.002649	1	1	1	0.0021591	0.0021545	-0.00259994973140222	-0.000111207193573535	36	750	no	-8.85535422047579
Xesp_000024	153	0.0062554	47	0.066	-0.003	1	0	0.004538	1	1	1	0.0028188	0.002811	-0.00350494924876389	-0.0529588425664943	47	750	no	-8.47070316547818
Xesp_000025	38	0.0015806	9	0.048	0.015	1	0	0.0008777	1	1	1	0.0005398	0.0005395	-0.000462718403022112	-0.000133114165894247	9	750	no	-10.8552874027447
Xesp_000026	129	0.0052371	43	0.044	-0.021	1	0	0.0040131	1	1	1	0.0025789	0.0025724	-0.0031559689613703	-0.0571328550122059	43	750	no	-8.59902845271416
Xesp_000028	26	0.0010278	9	0.035	0.004	1	0	0.0008116	1	1	1	0.0005398	0.0005395	-0.000462718403022112	-0.000133114165894247	9	750	no	-10.8552874027447
Xesp_000029	98	0.0040214	24	0.048	-0.004	1	0	0.0028931	1	1	1	0.0014394	0.0014374	-0.00157318240668838	-0.000109516568290654	24	750	no	-9.44031672119694
Xesp_000030	67	0.0028026	24	0.047	0.002	1	0	0.001754	2	2	1	0.0015593	0.0017969	0.165473195494001	0.167072838094329	24	750	no	-9.32488576401913
Xesp_000032	72	0.0029994	14	0.062	0.013	1	0	0.0017023	1	1	1	0.0008396	0.000839	-0.000700898529058018	0	14	750	no	-10.2180102129194
Xesp_000034	66	0.0027633	21	0.035	-0.012	1	0	0.0019227	1	1	1	0.0012594	0.0012579	-0.00130808412794111	-4.13799016095501e-05	21	750	no	-9.63304771219823
Xesp_000035	25	0.0009883	8	0.008	-0.02	1	0	0.0011383	1	1	1	0.0004798	0.0004796	-0.000329604237127865	-0.000152686404089752	8	750	no	-11.0252792219181
Xesp_000036	53	0.0020929	11	0.047	0.004	1	0	0.0012238	1	1	1	0.0006597	0.0006593	-0.000546884270248071	-0.000112014689543657	11	750	no	-10.5659022746354
Xesp_000037	209	0.0089146	64	0.077	-0.00700000000000001	1	0	0.0047599	1	1	1	0.0038383	0.0038238	-0.00494920367911374	-0.0404566713561368	64	750	no	-8.02531680825184
Xesp_000038	46	0.0018962	15	0.037	-0.003	1	0	0.0013459	1	1	1	0.0008996	0.0008988	-0.000891301808909549	-0.000190403279851531	15	750	no	-10.1184287184337
Xesp_000040	38	0.0015806	13	0.037	0.003	1	0	0.000856	1	1	1	0.0007797	0.0007791	-0.000736626082964326	-8.97707346142579e-05	13	750	no	-10.3247932450182
Xesp_000041	11	0.0004351	5	0.013	-0.007	1	0	0.0002343	1	1	1	0.0002999	0.0002998	-0.000207414746396221	0	5	750	no	-11.7032308573428
Xesp_000043	45	0.0018567	15	0.045	0.005	1	0	0.0011522	1	1	1	0.0008996	0.0008988	-0.000891301808909549	-0.000190403279851531	15	750	no	-10.1184287184337
Xesp_000044	27	0.0010673	6	0.049	0.019	1	0	0.0003621	1	1	1	0.0003598	0.0003597	-0.000190968958196353	0	6	750	no	-11.4405171929601
Xesp_000045	52	0.0020535	19	0.03	-0.012	1	0	0.0013211	1	1	1	0.0011395	0.0011383	-0.00112812608757239	-5.1970172024309e-05	19	750	no	-9.77738336005888
Xesp_000047	36	0.0014226	13	0.038	0.005	1	0	0.00093	1	1	1	0.0007797	0.0007791	-0.000736626082964326	-8.97707346142579e-05	13	750	no	-10.3247932450182
Xesp_000048	112	0.0044916	37	0.067	0.004	1	0	0.0025327	1	1	1	0.002219	0.0022142	-0.00265088631286096	-5.09365814587424e-05	37	750	no	-8.81587461712716
Xesp_000049	36	0.0014226	12	0.044	0.011	1	0	0.0007405	1	1	1	0.0007197	0.0007192	-0.000646855348350068	-9.99710781019973e-05	12	750	no	-10.4403167211969
Xesp_000052	343	0.013864	120	0.094	-0.00700000000000001	1	0	0.0091388	2	2	1	0.0073168	0.0075036	0.0345261831871367	-0.000433086993575527	120	750	no	-7.09457146040457
Xesp_000054	11	0.0004351	4	0.007	-0.013	1	0	0.0003179	1	1	1	0.0002399	0.0002399	0	0	4	750	no	-12.0252792219181
Xesp_000055	44	0.0018173	11	0.033	-0.002	1	0	0.0011033	1	1	1	0.0006597	0.0006593	-0.000546884270248071	-0.000112014689543657	11	750	no	-10.5659022746354
Xesp_000056	83	0.003432	23	0.046	-0.006	1	0	0.0022474	1	1	1	0.0013794	0.0013776	-0.00146366583839772	-0.000117169835830923	23	750	no	-9.5017434127722
Xesp_000059	106	0.004652	27	0.076	0.017	1	0	0.0021869	2	1	1	0.0016793	0.0017965	0.0792676983669822	0.0810587445557808	27	750	no	-9.2179242998605
Xesp_000061	38	0.0015015	13	0.06	0.026	1	0	0.0005566	1	1	1	0.0007797	0.0007791	-0.000736626082964326	-8.97707346142579e-05	13	750	no	-10.3247932450182
Xesp_000063	28	0.0011068	9	0.052	0.023	1	0	0.0005012	1	1	1	0.0005398	0.0005395	-0.000462718403022112	-0.000133114165894247	9	750	no	-10.8552874027447
Xesp_000065	53	0.0020929	18	0.026	-0.016	1	0	0.0014998	1	1	1	0.0010795	0.0010784	-0.00107615591554809	-5.64468429997593e-05	18	750	no	-9.85542104130167
Xesp_000066	23	0.0009093	8	0.03	0.002	1	0	0.0005441	1	1	1	0.0004798	0.0004796	-0.000329604237127865	-0.000152686404089752	8	750	no	-11.0252792219181
