Mean	log2FC	qv	pfam	bbh
Spis1730_1	0.740567223619184	2.32226684653452	3.24889535296744e-84	-	-
Spis17362_1	0.442011057226361	1.64147788976028	2.77641046167332e-32	-	-
Spis18413_1	0.261983502189839	1.15747170987087	5.5142708471568e-13	zf-CCHC/zf-CCHC/	-
Spis19248_1	0.854812778804849	3.89836009913836	1.15652885360495e-220	-	-
Spis19928_1	1.6331183980785	2.45925335824863	5.34313818944479e-172	-	-
Spis2158_1	0.677602727496143	1.93069929495743	5.97040158085052e-57	-	-
Spis2161_1	0.198727573203926	1.19005715065424	1.48680517918723e-12	-	-
Spis25314_1	0.0759045455612072	1.11717439709684	2.7637680394494e-12	GDPD/	glycerophosphodiester_phosphodiesterase_domain_containing_1
Spis25783_1	0.10325019688036	1.34166825254387	1.34598556968618e-16	-	-
Spis4775_1	0.264171213735118	1.07809442975991	2.11470036851425e-11	-	-
Spis5450_1	0.856419110618045	3.08166874441954	2.63663908815303e-150	RVT_1/FLYWCH/	-
Spis_LOC111319390	0.101877011357461	1.58377662823176	8.33347904885379e-28	NA	NA
Spis_LOC111323249	2.31931686028228	4.77016004715348	0	NA	NA
Spis_LOC111323483	0.201438377908713	2.27889030753545	6.67356464537128e-54	NA	NA
Spis_LOC111325776	0.129153015988257	1.28999520366487	2.76340525603655e-14	NA	NA
Spis_LOC111325846	0.498239044989505	1.09669088554174	3.52234668135348e-16	NA	NA
Spis_LOC111325878	0.205127208237821	2.09094580595538	7.53166424892841e-42	NA	NA
Spis_LOC111326479	0.771974144934456	2.21443564612704	9.71697516618796e-80	NA	NA
Spis_LOC111328478	0.162747648848808	1.03861290769487	2.66385174091799e-09	NA	NA
Spis_LOC111335272	2.90579342832019	4.89808510093311	0	NA	NA
Spis_LOC111335950	0.222442680766544	1.25878106277713	2.06758241733073e-14	NA	NA
Spis_LOC111338826	0.14480387013121	1.82095685894047	2.69092630462136e-32	NA	NA
Spis_LOC111339013	0.150622125433022	1.7640389540325	4.6270847524764e-29	NA	NA
Spis_LOC111339094	1.46730183696101	1.1631182982486	2.11416392230813e-41	NA	NA
Spis_LOC111342177	3.01869000420818	5.13104928191319	0	NA	NA
Spis_LOC111342840	1.97211389070847	1.66860120433203	7.46663754460211e-104	NA	NA
Spis_LOC111342842	0.230448647613636	1.14209217269688	4.24730910664649e-12	NA	NA
Spis_LOC111343939	0.210258870778184	2.135955588569	5.0899416961027e-44	NA	NA
Spis_LOC111343940	0.109196385443103	1.48713271220447	3.43704294063808e-21	NA	NA
Spis_LOC111345364	0.0654550006469746	1.06520413942547	4.34668427640699e-12	NA	NA
Spis_XP_022778027_1	0.616790376577371	2.11330057447973	5.07309888935704e-63	UDPGP/	UDP_glucose_pyrophosphorylase_2
Spis_XP_022778233_1	1.01801684611213	1.3970130684853	1.03586353036902e-42	-	uncharacterized protein LOC111319754
Spis_XP_022778561_1	0.212435222207681	1.41931234100056	4.78486816389152e-18	MORN/MORN/	radial spoke head 10 homolog B-like isoform X2
Spis_XP_022778944_1	0.502170895731031	2.5557557871588	4.47816442673706e-79	MORN/MORN/	MORN_repeat_containing_1
Spis_XP_022779090_1	0.359671310290249	1.74646976350333	1.17887602480554e-32	Endonuclease_NS/	exo_endonuclease_G
Spis_XP_022779122_1	0.220813628721783	1.16307736781367	2.33099488621804e-12	-	5_hydroxytryptamine_receptor_3B
Spis_XP_022779131_1	1.32289015474105	2.62391714870679	1.8677892654209e-160	HLH/	upstream_transcription_factor_1
Spis_XP_022779444_1	0.266067492417524	1.84933819137395	1.10195648229438e-32	ChaC/	ChaC_glutathione_specific_gamma_glutamylcyclotransferase_1
Spis_XP_022779497_1	1.30921658608464	3.21433975095774	1.00548488351196e-218	Tubulin/Tubulin_C/	tubulin_beta_4B_class_IVb
Spis_XP_022779498_1	0.277214990208988	2.33185987060811	5.01353922731521e-54	Tubulin/Tubulin_C/	tubulin_beta_4B_class_IVb
Spis_XP_022779510_1	4.38944311414123	1.1871371839601	1.62373247315648e-117	AdoHcyase/AdoHcyase_NAD/	adenosylhomocysteinase
Spis_XP_022779557_1	5.42931775778854	5.71157120023542	0	-	neurogenic locus notch homolog protein 1-like isoform X1
Spis_XP_022779621_1	0.409464096678489	1.34268183239249	3.40262277476489e-21	DUF4460/DUF4461/	T_cell_activation_inhibitor_mitochondrial
Spis_XP_022779650_1	0.4912338239983	1.15071258804788	1.06830556523687e-17	Pribosyltran/	adenine_phosphoribosyltransferase
Spis_XP_022779806_1	0.195550475918543	1.89844145543232	2.90773964266831e-33	Leg1/	chromosome_6_open_reading_frame_58
Spis_XP_022779917_1	0.108568079254229	1.30783801294744	2.72361530924677e-15	-	splicing regulatory glutamine/lysine-rich protein 1-like
Spis_XP_022780086_1	0.977951445535667	2.01231076797515	2.75547909402128e-80	ELO/	ELOVL_fatty_acid_elongase_4
Spis_XP_022780109_1	0.695546506213741	1.63648709230587	6.63374346049574e-43	GalKase_gal_bdg/GHMP_kinases_N/GHMP_kinases_C/	galactokinase_1
Spis_XP_022780134_1	0.295077762122447	1.01040073020339	1.52725816231869e-10	Mito_carr/Mito_carr/Mito_carr/	solute_carrier_family_25_member_11
Spis_XP_022780455_1	0.793943627307165	2.36203110037931	4.43910162243348e-91	Melibiase_2/Melibiase_2_C/Melibiase_2/Melibiase_C/	alpha_N_acetylgalactosaminidase
Spis_XP_022780532_1	1.10797876011254	1.2461517730423	3.38680309284618e-37	Phospholip_B/	phospholipase_B_domain_containing_2
Spis_XP_022780671_1	0.422741019442657	1.69191054606643	2.43417918416186e-33	Glycogen_syn/	glycogen_synthase_1
Spis_XP_022780700_1	0.0936734645610819	1.08631819651898	1.88530313419638e-10	ERG4_ERG24/	7_dehydrocholesterol_reductase
Spis_XP_022780727_1	1.53155702580914	1.69624746646897	1.16703389508606e-85	Abhydro_lipase/	lipase_family_member_K
Spis_XP_022780743_1	0.614429291308031	1.11995396509309	1.58482384245995e-19	CH/GAS2/	growth_arrest_specific_2
Spis_XP_022780773_1	0.277564709644435	1.21733854094209	1.33002140566584e-14	MFS_1/	solute_carrier_family_46_member_1
Spis_XP_022780799_1	0.928346364974596	1.28179421067194	6.70464618174032e-34	C2/C2/	synaptotagmin_9
Spis_XP_022780800_1	0.157126973496284	1.60814767413016	5.71809247370606e-23	SSF/	solute_carrier_family_5_member_7
Spis_XP_022780842_1	0.774046769328248	1.21105092813343	1.23863211187718e-26	-	uncharacterized protein LOC111322068
Spis_XP_022780890_1	0.41771456993166	1.11424130122102	3.98917419673533e-15	Thioredoxin_4/	uncharacterized protein LOC111322105
Spis_XP_022781030_1	0.168007244650103	1.23214117843469	4.89866563921659e-13	FAD_binding_4/FAD-oxidase_C/	lactate_dehydrogenase_D
Spis_XP_022781082_1	0.265858552352454	1.00709530956893	4.98386829653546e-10	DOMON/Cu2_monooxygen/Cu2_monoox_C/	monooxygenase_DBH_like_1
Spis_XP_022781221_1	0.837395065234083	1.65743466208725	2.57981026290122e-50	Peptidase_M20/M20_dimer/	aminoacylase_1
Spis_XP_022781456_1	0.186532403099783	1.46947000588695	6.17949608743025e-19	DAO/	D_amino_acid_oxidase
Spis_XP_022782026_1	7.21475698003318	4.50192077541853	0	-	uncharacterized protein LOC111323024 isoform X1
Spis_XP_022782047_1	0.218067257675987	1.45460698808881	4.43731192352927e-19	DUF4211/	proline_rich_12
Spis_XP_022782128_1	2.86537735014813	1.38006345653567	1.42468827312416e-103	-	uncharacterized protein LOC111323102
Spis_XP_022782153_1	0.265508832917007	2.06467535507947	4.28272527404495e-41	Hexokinase_1/Hexokinase_2/	glucokinase
Spis_XP_022782234_1	0.640285183959136	1.40309109640527	1.9800505648004e-30	CUB/CUB/CUB/Ldl_recept_a/	tolloid_like_2
Spis_XP_022782247_1	0.330196233998393	1.5940366985885	2.39692318445377e-26	Aldose_epim/	galactose_mutarotase
Spis_XP_022782256_1	1.16904400556585	3.10593235665552	3.31157088057664e-190	NAD_binding_5/Inos-1-P_synth/	inositol_3_phosphate_synthase_1
Spis_XP_022782354_1	0.475210530188336	1.01846393988073	8.59594581879379e-14	UBA_4/	UBA_like_domain_containing_1
Spis_XP_022782385_1	0.176827737519574	1.1492089449288	1.88933898081716e-11	-	LOW QUALITY PROTEIN: unconventional myosin-XVIIIa-like
