Hvul_g10365_1	Xesp_008452
Hvul_g24804_1	Xesp_000799
Hvul_g8326_1	Xesp_018027
Hvul_g14066_1	Xesp_022339
Hvul_g17484_1	Xesp_007866
Hvul_g17484_1	Xesp_007868
Hvul_g16693_1	Xesp_001725
Hvul_g16693_1	Xesp_001723
Hvul_g4867_1	Xesp_013148
Hvul_g8283_1	Xesp_018777
Hvul_g27449_1	Xesp_006079
Hvul_g19125_1	Xesp_007464
Hvul_g33735_1	Xesp_008070
Hvul_g20642_1	Xesp_021520
Hvul_g20643_1	Xesp_021520
Hvul_g21680_1	Xesp_017362
Hvul_g21680_1	Xesp_017369
Hvul_g1029_1	Xesp_018714
Hvul_g1028_1	Xesp_018714
Hvul_g8345_1	Xesp_016576
Hvul_g18842_1	Xesp_009341
Hvul_g19927_1	Xesp_009341
Hvul_g1977_1	Xesp_021676
Hvul_g7159_1	Xesp_021676
Hvul_g7158_1	Xesp_021676
Hvul_g4578_1	Xesp_014728
Hvul_g20121_1	Xesp_014728
Hvul_g31009_1	Xesp_000805
Hvul_g24101_1	Xesp_009358
Hvul_g24104_1	Xesp_009358
Hvul_g29522_1	Xesp_004962
Hvul_g13241_1	Xesp_011284
Hvul_g14278_1	Xesp_020599
Hvul_g27363_1	Xesp_025388
Hvul_g27359_1	Xesp_002745
Hvul_g27359_1	Xesp_002674
Hvul_g27363_1	Xesp_002745
Hvul_g27363_1	Xesp_002674
Hvul_g7475_1	Xesp_012172
Hvul_g26362_1	Xesp_016025
Hvul_g32204_1	Xesp_012345
Hvul_g16326_1	Xesp_028952
Hvul_g9413_1	Xesp_005239
Hvul_g9412_1	Xesp_005484
Hvul_g25444_1	Xesp_019832
Hvul_g25444_1	Xesp_014830
Hvul_g25444_1	Xesp_019846
Hvul_g25444_1	Xesp_014831
Hvul_g29764_1	Xesp_005501
Hvul_g29279_1	Xesp_012111
Hvul_g29282_1	Xesp_012111
Hvul_g29279_1	Xesp_001460
Hvul_g29282_1	Xesp_001460
Hvul_g31793_1	Xesp_012873
Hvul_g22578_1	Xesp_003418
Hvul_g14434_1	Xesp_022044
Hvul_g12603_1	Xesp_008465
Hvul_g25092_1	Xesp_008427
Hvul_g14522_1	Xesp_021652
Hvul_g11222_1	Xesp_020859
Hvul_g17003_1	Xesp_020862
Hvul_g17003_1	Xesp_020865
Hvul_g17003_1	Xesp_020838
Hvul_g17003_1	Xesp_020839
Hvul_g17003_1	Xesp_020841
Hvul_g17003_1	Xesp_020845
Hvul_g17003_1	Xesp_020858
Hvul_g17003_1	Xesp_020863
Hvul_g11222_1	Xesp_020865
Hvul_g11222_1	Xesp_020838
Hvul_g11222_1	Xesp_020839
Hvul_g11222_1	Xesp_020841
Hvul_g11222_1	Xesp_020845
Hvul_g11222_1	Xesp_020858
Hvul_g11222_1	Xesp_020863
Hvul_g33465_1	Xesp_021960
Hvul_g33465_1	Xesp_021964
Hvul_g20374_1	Xesp_021603
Hvul_g14356_1	Xesp_012887
Hvul_g15439_1	Xesp_012887
Hvul_g22183_1	Xesp_016000
Hvul_g7724_1	Xesp_003465
Hvul_g29622_1	Xesp_001329
Hvul_g29711_1	Xesp_004531
Hvul_g6215_1	Xesp_021469
Hvul_g4536_1	Xesp_010389
Hvul_g29359_1	Xesp_010887
Hvul_g463_1	Xesp_003173
Hvul_g24180_1	Xesp_028024
Hvul_g24180_1	Xesp_027370
Hvul_g24180_1	Xesp_028045
Hvul_g24180_1	Xesp_027369
Hvul_g24180_1	Xesp_028053
Hvul_g24180_1	Xesp_028022
Hvul_g27170_1	Xesp_003519
Hvul_g27171_1	Xesp_003519
Hvul_g10337_1	Xesp_002370
Hvul_g23657_1	Xesp_002370
Hvul_g16395_1	Xesp_003899
Hvul_g26507_1	Xesp_003899
Hvul_g26687_1	Xesp_003899
Hvul_g26676_1	Xesp_003899
Hvul_g26677_1	Xesp_003899
Hvul_g16395_1	Xesp_021623
Hvul_g26507_1	Xesp_021623
Hvul_g26687_1	Xesp_021623
Hvul_g26676_1	Xesp_021623
Hvul_g26677_1	Xesp_021623
Hvul_g16395_1	Xesp_021622
Hvul_g26507_1	Xesp_021622
Hvul_g26687_1	Xesp_021622
Hvul_g26676_1	Xesp_021622
Hvul_g26677_1	Xesp_021622
Hvul_g30310_1	Xesp_003966
Hvul_g15760_1	Xesp_021474
Hvul_g12762_1	Xesp_014124
Hvul_g31865_1	Xesp_004860
Hvul_g22438_1	Xesp_004905
Hvul_g16985_1	Xesp_018475
Hvul_g33430_1	Xesp_009850
Hvul_g15492_1	Xesp_011374
