Mean	log2FC	qv	pfam	bbh
Spis13500_1	0.301758397457412	2.17018863362805	6.55190956820058e-14	-	-
Spis14464_1	1.9917554566948	1.34887819174859	3.63585188045976e-21	Rdx/	migration_and_invasion_enhancer_1
Spis14971_1	0.248135240176433	2.26741611926094	2.39583545224235e-14	RVT_1/	-
Spis16475_1	1.82101338743072	1.35343638083287	8.55901500445706e-20	-	-
Spis18343_1	0.228948498176379	2.07309769492952	8.95574689471083e-12	Collagen/Collagen/Collagen/Collagen/	-
Spis19855_1	0.727217438512026	2.3096095161304	5.31745092845562e-25	-	-
Spis20957_1	0.10668786171972	1.52531005214262	1.38965572721293e-06	-	-
Spis21451_1	0.419523512352651	2.39676653983953	4.99403361083642e-19	Glyco_hydro_35/BetaGal_dom4_5/	galactosidase_beta_1
Spis2158_1	0.491364107265483	1.79528091747176	1.77531432566226e-12	-	-
Spis22670_1	1.2092674011986	2.19795040841889	6.62419595037001e-34	DUF2738/	-
Spis24372_1	0.535202417195212	2.67106194671062	9.47971855105796e-26	-	-
Spis25866_1	0.132456335333872	1.63613893836409	2.68796141844244e-07	-	-
Spis5580_1	0.784279062916329	1.4174797536457	5.88181129102522e-11	ATP-synt/DDE_Tnp_4/	ATP_synthase_F1_subunit_gamma
Spis8561_1	3.90064480934895	4.23772926100694	4.08996177908597e-229	Usp/	-
Spis_LOC111319001	0.462540119230454	1.30733607241856	8.81701760099124e-07	NA	NA
Spis_LOC111319297	2.15423638221873	5.19576304813843	2.33731827275305e-161	NA	NA
Spis_LOC111319449	1.22907244728727	1.27321583972644	1.36987014618154e-12	NA	NA
Spis_LOC111319478	25.6498026233616	6.40603345169608	0	NA	NA
Spis_LOC111320934	0.890966924636049	1.61289994910187	2.36363223258676e-15	NA	NA
Spis_LOC111322941	0.268526637930859	2.56447107970506	1.53105025684968e-18	NA	NA
Spis_LOC111325687	0.18158397105343	1.6028009631477	6.84264139569269e-07	NA	NA
Spis_LOC111326378	0.107892517474092	1.65894280350465	5.38958212900492e-08	NA	NA
Spis_LOC111331837	0.169625163579608	2.02130223158551	4.04973937011542e-11	NA	NA
Spis_LOC111332646	0.264589569211676	1.91711988068482	1.27037137935075e-10	NA	NA
Spis_LOC111332860	0.216666589246489	2.10064368392736	4.36624102481723e-12	NA	NA
Spis_LOC111334563	0.515780323808987	3.39986588044649	1.53858844393015e-37	NA	NA
Spis_LOC111335950	2.64019956840032	1.22740328063241	1.37729923260835e-22	NA	NA
Spis_LOC111336453	0.382266934037018	1.35474797693934	1.92718885323176e-06	NA	NA
Spis_LOC111336533	5.04087198704459	1.33616301513927	5.73132958318271e-49	NA	NA
Spis_LOC111337393	0.189370358421899	1.56658155139279	9.05872171531121e-07	NA	NA
Spis_LOC111338098	0.187284148369223	1.73249990766918	4.23812207020461e-08	NA	NA
Spis_LOC111338437	0.599990577721605	3.50732753704599	3.01215404486704e-42	NA	NA
Spis_LOC111339102	0.610569229301264	1.61313959765152	8.44005850513075e-12	NA	NA
Spis_LOC111340401	0.857088962197362	1.49416699891969	5.65382283592212e-13	NA	NA
Spis_LOC111340427	1.82662176107727	4.47494759891019	3.05770035116668e-123	NA	NA
Spis_LOC111340505	1.41500433858585	1.88297821530743	1.56016570224132e-29	NA	NA
Spis_LOC111342562	0.286744075562712	1.73189003345747	4.71872302087742e-09	NA	NA
Spis_LOC111343216	0.582714545634436	1.64761265660222	7.06112542929433e-12	NA	NA
Spis_LOC111344254	0.240025751351897	1.95429200104448	1.08873223121301e-10	NA	NA
Spis_LOC111344294	0.785013015898359	2.12362000239076	6.96843059902964e-23	NA	NA
Spis_LOC111344933	0.627346659792574	1.62215296126985	4.58465490499032e-12	NA	NA
Spis_LOC111344989	0.685054487109011	1.06374860786791	7.44820775641216e-06	NA	NA
Spis_LOC111345088	0.190898115632338	2.05004960033768	2.10485913231458e-11	NA	NA
Spis_LOC111346975	0.196275191492064	1.79007467833138	1.18758412917354e-08	NA	NA
Spis_LOC111347164	0.1312516795795	1.51722326625542	3.14977467093417e-06	NA	NA
