gene1	gene2	relationship	orthogroup1	orthogroup2
Xesp_006201	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_011208	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_028246	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026611	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006583	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Hvul_g25384_1	Hvul_g10001_1	inparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_008850	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025509	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026542	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_027556	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_000162	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025922	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024074	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_018037	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_018153	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006124	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_022429	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_003978	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006706	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_011199	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_023545	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025869	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024545	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006960	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025870	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_012773	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_010691	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026214	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025043	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025943	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026530	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025863	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_018934	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Hvul_g19318_1	Hvul_g10001_1	inparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_028271	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_001903	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_019544	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026233	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025944	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024946	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_008752	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_027408	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_003216	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_028293	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006552	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026355	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
