Xesp_008452	Spis_XP_022783009_1
Xesp_000799	Spis_XP_022782072_1
Xesp_012011	Spis_XP_022788001_1
Xesp_012011	Spis_XP_022800729_1
Xesp_012010	Spis_XP_022788001_1
Xesp_012010	Spis_XP_022800729_1
Xesp_018027	Spis_XP_022780686_1
Xesp_022339	Spis_XP_022792326_1
Xesp_022339	Spis_XP_022799259_1
Xesp_007866	Spis_XP_022787897_1
Xesp_007868	Spis_XP_022787897_1
Xesp_001725	Spis_XP_022780838_1
Xesp_001723	Spis_XP_022780838_1
Xesp_013148	Spis_XP_022794909_1
Xesp_000696	Spis_XP_022782618_1
Xesp_018777	Spis_XP_022803997_1
Xesp_006079	Spis_XP_022791333_1
Xesp_007464	Spis_XP_022782795_1
Xesp_008070	Spis_XP_022790128_1
Xesp_021520	Spis_XP_022785323_1
Xesp_017362	Spis_XP_022782352_1
Xesp_017369	Spis_XP_022782352_1
Xesp_018714	Spis_XP_022802663_1
Xesp_016576	Spis_XP_022799883_1
Xesp_009341	Spis_XP_022779759_1
Xesp_014728	Spis_XP_022790244_1
Xesp_000805	Spis_XP_022777945_1
Xesp_000805	Spis_XP_022807875_1
Xesp_009358	Spis_XP_022797354_1
Xesp_009358	Spis_XP_022797376_1
Xesp_004962	Spis_XP_022801022_1
Xesp_011284	Spis_XP_022781390_1
Xesp_020599	Spis_XP_022799852_1
Xesp_025388	Spis_XP_022806837_1
Xesp_002745	Spis_XP_022806837_1
Xesp_002674	Spis_XP_022806837_1
Xesp_012172	Spis_XP_022799915_1
Xesp_016025	Spis_XP_022791561_1
Xesp_012345	Spis_XP_022777641_1
Xesp_028952	Spis_XP_022790979_1
Xesp_005239	Spis_XP_022796566_1
Xesp_005484	Spis_XP_022799792_1
Xesp_019832	Spis_XP_022807145_1
Xesp_019846	Spis_XP_022807145_1
Xesp_019844	Spis_XP_022807145_1
Xesp_019847	Spis_XP_022807145_1
Xesp_005501	Spis_XP_022785670_1
Xesp_012111	Spis_XP_022788056_1
Xesp_001460	Spis_XP_022788056_1
Xesp_002946	Spis_XP_022779729_1
Xesp_012873	Spis_XP_022789792_1
Xesp_003418	Spis_XP_022784438_1
Xesp_022044	Spis_XP_022790753_1
Xesp_008465	Spis_XP_022779879_1
Xesp_008427	Spis_XP_022789490_1
Xesp_021652	Spis_XP_022788471_1
Xesp_020859	Spis_XP_022806573_1
Xesp_020859	Spis_XP_022794057_1
Xesp_020862	Spis_XP_022806573_1
Xesp_020862	Spis_XP_022794057_1
Xesp_020865	Spis_XP_022806573_1
Xesp_020838	Spis_XP_022806573_1
Xesp_020839	Spis_XP_022806573_1
Xesp_020841	Spis_XP_022806573_1
Xesp_020845	Spis_XP_022806573_1
Xesp_020858	Spis_XP_022806573_1
Xesp_020863	Spis_XP_022806573_1
Xesp_020865	Spis_XP_022794057_1
Xesp_020838	Spis_XP_022794057_1
Xesp_020839	Spis_XP_022794057_1
Xesp_020841	Spis_XP_022794057_1
Xesp_020845	Spis_XP_022794057_1
Xesp_020858	Spis_XP_022794057_1
Xesp_020863	Spis_XP_022794057_1
Xesp_014449	Spis_XP_022799976_1
Xesp_021960	Spis_XP_022795853_1
Xesp_021964	Spis_XP_022795853_1
Xesp_021603	Spis_XP_022804356_1
Xesp_012887	Spis_XP_022783408_1
Xesp_016000	Spis_XP_022786937_1
Xesp_003465	Spis_XP_022806161_1
Xesp_001329	Spis_XP_022798535_1
Xesp_004531	Spis_XP_022781790_1
Xesp_021469	Spis_XP_022798376_1
Xesp_010389	Spis_XP_022809091_1
Xesp_010887	Spis_XP_022783178_1
Xesp_003519	Spis_XP_022797724_1
Xesp_002370	Spis_XP_022806566_1
Xesp_003899	Spis_XP_022792476_1
Xesp_003899	Spis_XP_022792467_1
Xesp_003899	Spis_XP_022792474_1
Xesp_021623	Spis_XP_022792476_1
Xesp_021623	Spis_XP_022792467_1
Xesp_021623	Spis_XP_022792474_1
Xesp_021622	Spis_XP_022792476_1
Xesp_021622	Spis_XP_022792467_1
Xesp_021622	Spis_XP_022792474_1
Xesp_003966	Spis_XP_022792547_1
Xesp_021474	Spis_XP_022789927_1
Xesp_014124	Spis_XP_022802746_1
Xesp_004860	Spis_XP_022783934_1
Xesp_004905	Spis_XP_022808609_1
Xesp_018475	Spis_XP_022809292_1
Xesp_009850	Spis_XP_022785884_1
Xesp_011374	Spis_XP_022799652_1
Xesp_004486	Spis_XP_022792129_1
Xesp_021903	Spis_XP_022810412_1
Xesp_021903	Spis_XP_022808452_1
Xesp_021720	Spis_XP_022790779_1
Xesp_011989	Spis_XP_022789427_1
Xesp_011993	Spis_XP_022789427_1
Xesp_011989	Spis_XP_022791174_1
Xesp_011993	Spis_XP_022791174_1
Xesp_000921	Spis_XP_022787278_1
Xesp_017441	Spis_XP_022794081_1
Xesp_017441	Spis_XP_022794376_1
Xesp_017441	Spis_XP_022807081_1
Xesp_017441	Spis5604_1
Xesp_017441	Spis_XP_022808515_1
Xesp_017441	Spis_XP_022794089_1
Xesp_017441	Spis_XP_022785055_1
Xesp_017441	Spis_XP_022802517_1
Xesp_021098	Spis_XP_022808516_1
Xesp_020903	Spis_XP_022802517_1
Xesp_020903	Spis_XP_022785055_1
Xesp_001784	Spis_XP_022806507_1
Xesp_001784	Spis_XP_022802517_1
Xesp_001784	Spis5604_1
Xesp_001784	Spis_XP_022808515_1
Xesp_001784	Spis_XP_022798766_1
Xesp_001784	Spis_XP_022808516_1
Xesp_001784	Spis_XP_022795055_1
Xesp_014918	Spis_XP_022808516_1
Xesp_014918	Spis_XP_022808519_1
Xesp_003913	Spis_XP_022794081_1
Xesp_017477	Spis_XP_022794081_1
Xesp_017477	Spis_XP_022794376_1
Xesp_017477	Spis_XP_022807081_1
Xesp_017477	Spis5604_1
Xesp_017477	Spis_XP_022808515_1
Xesp_017477	Spis_XP_022794089_1
Xesp_017477	Spis_XP_022785055_1
Xesp_017477	Spis_XP_022802517_1
Xesp_014920	Spis_XP_022808516_1
Xesp_014920	Spis_XP_022808519_1
Xesp_015778	Spis_XP_022795186_1
Xesp_015780	Spis_XP_022795186_1
Xesp_015781	Spis_XP_022795186_1
Xesp_015782	Spis_XP_022795186_1
Xesp_015778	Spis_XP_022798130_1
Xesp_015780	Spis_XP_022798130_1
Xesp_015781	Spis_XP_022798130_1
Xesp_015782	Spis_XP_022798130_1
Xesp_021162	Spis_XP_022794376_1
Xesp_021162	Spis_XP_022785055_1
Xesp_021162	Spis_XP_022794349_1
Xesp_021162	Spis_XP_022808516_1
Xesp_020805	Spis5604_1
Xesp_020805	Spis_XP_022808515_1
Xesp_020805	Spis_XP_022798766_1
Xesp_001806	Spis_XP_022808516_1
Xesp_001785	Spis_XP_022808516_1
Xesp_001805	Spis_XP_022808516_1
Xesp_001806	Spis_XP_022808519_1
Xesp_001785	Spis_XP_022808519_1
Xesp_001805	Spis_XP_022808519_1
Xesp_001826	Spis_XP_022806507_1
Xesp_001826	Spis_XP_022802517_1
Xesp_001826	Spis5604_1
Xesp_001826	Spis_XP_022808515_1
Xesp_001826	Spis_XP_022798766_1
Xesp_001826	Spis_XP_022808516_1
Xesp_001826	Spis_XP_022795055_1
Xesp_021120	Spis_XP_022808516_1
Xesp_021120	Spis_XP_022795055_1
Xesp_014922	Spis_XP_022808516_1
Xesp_014922	Spis_XP_022808519_1
Xesp_014916	Spis_XP_022808516_1
Xesp_014916	Spis_XP_022808519_1
Xesp_014919	Spis_XP_022806507_1
Xesp_014919	Spis_XP_022802517_1
Xesp_014919	Spis5604_1
Xesp_014919	Spis_XP_022808515_1
Xesp_014919	Spis_XP_022798766_1
Xesp_014919	Spis_XP_022808516_1
Xesp_014919	Spis_XP_022795055_1
Xesp_014919	Spis_XP_022794376_1
Xesp_014919	Spis_XP_022794349_1
Xesp_014919	Spis_XP_022806508_1
Xesp_021122	Spis_XP_022795055_1
Xesp_021122	Spis_XP_022808516_1
Xesp_001827	Spis5604_1
Xesp_001827	Spis_XP_022808515_1
Xesp_001827	Spis_XP_022808516_1
Xesp_021154	Spis_XP_022795055_1
Xesp_021156	Spis_XP_022795055_1
Xesp_021154	Spis_XP_022808516_1
