gene1	gene2
Nvec_v1g97222	Hvul_g10457_1
Nvec_v1g200356	Hvul_g11764_1
Nvec_v1g120503	Hvul_g12887_1
Nvec_v1g245290	Hvul_g1393_1
Nvec_v1g245290	Hvul_g16856_1
Nvec_v1g96414	Hvul_g17406_1
Nvec_v1g245290	Hvul_g17896_1
Nvec_v1g97222	Hvul_g1836_1
Nvec_v1g97222	Hvul_g1843_1
Nvec_v1g97222	Hvul_g1850_1
Nvec_v1g97222	Hvul_g1858_1
Nvec_v1g229018	Hvul_g21489_1
Nvec_v1g118951	Hvul_g24988_1
Nvec_v1g245290	Hvul_g25643_1
Nvec_v1g229018	Hvul_g26585_1
Nvec_v1g120836	Hvul_g26871_1
Nvec_v1g171849	Hvul_g29734_1
Nvec_v1g203375	Hvul_g30028_1
Nvec_v1g10765	Hvul_g3060_1
Nvec_v1g118951	Hvul_g30735_1
Nvec_v1g161006	Hvul_g3075_1
Nvec_v1g200356	Hvul_g32304_1
Nvec_v1g211017	Hvul_g32792_1
Nvec_v1g185184	Hvul_g33646_1
Nvec_v1g105520	Hvul_g3929_1
Nvec_v1g200356	Hvul_g5577_1
Nvec_v1g200356	Hvul_g5578_1
Nvec_v1g97222	Hvul_g7008_1
Nvec_v1g245290	Hvul_g8304_1
Nvec_v1g165407	Hvul_g8514_1
Nvec_NVE1028	Hvul_g21606_1
Nvec_NVE12610	Hvul_g5252_1
Nvec_NVE13315	Hvul_g28606_1
Nvec_NVE13317	Hvul_g21201_1
Nvec_NVE16807	Hvul_g21824_1
Nvec_NVE16808	Hvul_g21824_1
Nvec_NVE18085	Hvul_g5001_1
Nvec_NVE22947	Hvul_g5001_1
Nvec_NVE23841	Hvul_g19261_1
Nvec_NVE3568	Hvul_g24952_1
Nvec_NVE3891	Hvul_g19825_1
Nvec_NVE6511	Hvul_g4164_1
Nvec_NVE6511	Hvul_g1172_1
Nvec_NVE6511	Hvul_g18715_1
Nvec_NVE6511	Hvul_g21174_1
Nvec_NVE6511	Hvul_g32396_1
Nvec_NVE6511	Hvul_g25815_1
Nvec_NVE6511	Hvul_g5198_1
Nvec_NVE6511	Hvul_g26708_1
Nvec_NVE6511	Hvul_g20649_1
Nvec_NVE6511	Hvul_g15767_1
Nvec_NVE6511	Hvul_g14038_1
Nvec_NVE6511	Hvul_g33039_1
Nvec_NVE6511	Hvul_g4738_1
Nvec_NVE6511	Hvul_g9910_1
Nvec_NVE6511	Hvul_g31547_1
Nvec_NVE6511	Hvul_g25910_1
Nvec_NVE6511	Hvul_g33121_1
Nvec_NVE6511	Hvul_g8383_1
Nvec_NVE695	Hvul_g4803_1
Nvec_NVE8979	Hvul_g22450_1
Nvec_v1g100372	Hvul_g21693_1
Nvec_v1g101900	Hvul_g33422_1
Nvec_v1g103200	Hvul_g29168_1
Nvec_v1g104083	Hvul_g10565_1
Nvec_v1g104726	Hvul_g10604_1
Nvec_v1g105457	Hvul_g5358_1
Nvec_v1g105457	Hvul_g5370_1
Nvec_v1g106305	Hvul_g31028_1
Nvec_v1g107461	Hvul_g14694_1
Nvec_v1g108724	Hvul_g5525_1
Nvec_v1g109857	Hvul_g8000_1
Nvec_v1g110350	Hvul_g23666_1
Nvec_v1g110858	Hvul_g21570_1
Nvec_v1g11096	Hvul_g16700_1
Nvec_v1g111410	Hvul_g6951_1
Nvec_v1g112080	Hvul_g24113_1
Nvec_v1g112745	Hvul_g10169_1
Nvec_v1g112745	Hvul_g9175_1
Nvec_v1g112745	Hvul_g29121_1
Nvec_v1g113102	Hvul_g15387_1
Nvec_v1g113172	Hvul_g15387_1
Nvec_v1g113757	Hvul_g3731_1
Nvec_v1g114346	Hvul_g16442_1
Nvec_v1g114480	Hvul_g9854_1
Nvec_v1g114579	Hvul_g246_1
Nvec_v1g115110	Hvul_g14901_1
Nvec_v1g116293	Hvul_g30478_1
Nvec_v1g116463	Hvul_g31372_1
Nvec_v1g116698	Hvul_g32465_1
Nvec_v1g118122	Hvul_g7675_1
Nvec_v1g118178	Hvul_g12290_1
Nvec_v1g119733	Hvul_g4616_1
Nvec_v1g120142	Hvul_g1979_1
Nvec_v1g120156	Hvul_g8553_1
Nvec_v1g121204	Hvul_g15359_1
Nvec_v1g121294	Hvul_g15640_1
Nvec_v1g121754	Hvul_g25835_1
Nvec_v1g121827	Hvul_g33396_1
Nvec_v1g121827	Hvul_g33440_1
Nvec_v1g121827	Hvul_g24114_1
Nvec_v1g121842	Hvul_g33440_1
Nvec_v1g121842	Hvul_g24114_1
Nvec_v1g121842	Hvul_g33396_1
Nvec_v1g122107	Hvul_g20637_1
Nvec_v1g122918	Hvul_g16545_1
Nvec_v1g122926	Hvul_g18479_1
Nvec_v1g123077	Hvul_g27590_1
Nvec_v1g123745	Hvul_g32708_1
Nvec_v1g123764	Hvul_g32708_1
Nvec_v1g124291	Hvul_g12906_1
Nvec_v1g124291	Hvul_g12909_1
Nvec_v1g124737	Hvul_g4803_1
Nvec_v1g125309	Hvul_g16688_1
Nvec_v1g125496	Hvul_g9565_1
Nvec_v1g127893	Hvul_g28368_1
Nvec_v1g127920	Hvul_g28965_1
Nvec_v1g128275	Hvul_g24401_1
Nvec_v1g128289	Hvul_g24401_1
Nvec_v1g128296	Hvul_g24401_1
Nvec_v1g128302	Hvul_g24401_1
Nvec_v1g129231	Hvul_g19602_1
Nvec_v1g130163	Hvul_g7807_1
Nvec_v1g130873	Hvul_g26815_1
Nvec_v1g131609	Hvul_g11299_1
Nvec_v1g132332	Hvul_g27364_1
Nvec_v1g134544	Hvul_g7038_1
Nvec_v1g136184	Hvul_g3034_1
Nvec_v1g137233	Hvul_g5731_1
Nvec_v1g138693	Hvul_g1976_1
Nvec_v1g13916	Hvul_g24327_1
Nvec_v1g143620	Hvul_g24327_1
Nvec_v1g146324	Hvul_g12439_1
Nvec_v1g146324	Hvul_g12436_1
Nvec_v1g146324	Hvul_g12434_1
Nvec_v1g146324	Hvul_g12442_1
Nvec_v1g146324	Hvul_g12447_1
Nvec_v1g147359	Hvul_g1988_1
Nvec_v1g147404	Hvul_g9854_1
Nvec_v1g147760	Hvul_g3731_1
Nvec_v1g148786	Hvul_g21570_1
Nvec_v1g150519	Hvul_g10051_1
Nvec_v1g153628	Hvul_g15387_1
Nvec_v1g157078	Hvul_g1976_1
Nvec_v1g160868	Hvul_g9045_1
Nvec_v1g162294	Hvul_g18796_1
Nvec_v1g162294	Hvul_g9433_1
Nvec_v1g162604	Hvul_g18841_1
Nvec_v1g164599	Hvul_g13279_1
Nvec_v1g164762	Hvul_g11765_1
Nvec_v1g164975	Hvul_g15090_1
Nvec_v1g165261	Hvul_g24126_1
Nvec_v1g165614	Hvul_g18227_1
Nvec_v1g168041	Hvul_g27950_1
Nvec_v1g16815	Hvul_g28310_1
Nvec_v1g169217	Hvul_g1517_1
Nvec_v1g169387	Hvul_g9854_1
Nvec_v1g170111	Hvul_g20637_1
Nvec_v1g171779	Hvul_g9013_1
Nvec_v1g174238	Hvul_g31199_1
Nvec_v1g177453	Hvul_g33068_1
Nvec_v1g18446	Hvul_g15387_1
Nvec_v1g184519	Hvul_g18246_1
Nvec_v1g18576	Hvul_g30478_1
Nvec_v1g187332	Hvul_g12217_1
Nvec_v1g187589	Hvul_g19303_1
Nvec_v1g18814	Hvul_g25127_1
Nvec_v1g189134	Hvul_g15881_1
Nvec_v1g189242	Hvul_g18025_1
Nvec_v1g19204	Hvul_g2490_1
Nvec_v1g192525	Hvul_g30219_1
Nvec_v1g192750	Hvul_g27479_1
Nvec_v1g19525	Hvul_g28037_1
Nvec_v1g197493	Hvul_g2253_1
Nvec_v1g19862	Hvul_g3847_1
