Mean	log2FC	qv	pfam	bbh
Spis11164_1	0.0938256040472405	-1.11354905204777	3.49675782456407e-06	-	-
Spis12055_1	0.11246733564207	-1.1217311004576	3.19873438667972e-06	-	-
Spis15711_1	0.313453753073294	-1.37990088611713	7.50980746307089e-12	-	-
Spis1769_1	0.365795330558041	-1.96355016477346	8.58676382634563e-24	Fibrinogen_C/	fibrinogen_like_2
Spis20566_1	0.780300208850634	-1.45013938412537	2.97116178105284e-23	VWA/	collagen_type_XII_alpha_1_chain
Spis23793_1	0.0776857370921268	-1.13352825250741	1.35016800032845e-06	Fibrinogen_C/	ficolin_2
Spis25558_1	0.273715351700711	-2.05404771250542	2.58506334598697e-22	-	-
Spis25839_1	0.392465749231527	-1.25033336787648	3.43238955775387e-11	-	-
Spis4337_1	0.274227084744436	-1.55429414996979	6.3806445973254e-14	Ca_hom_mod/	-
Spis6169_1	0.993528722842792	-1.75497851095864	3.74727846821246e-39	EGF_CA/cEGF/cEGF/EGF_CA/Sushi/Ig_2/Ephrin_rec_like/Sushi/	Fc_fragment_of_IgE_receptor_II
Spis6457_1	0.585004113460291	-1.43261125228639	1.49809120136258e-18	-	-
Spis9489_1	1.13023723119431	-3.67325240959136	4.09120922194662e-121	-	-
Spis9967_1	0.0948846364757014	-1.42754048249141	3.59244071263965e-10	-	-
Spis_LOC111320103	0.814022774972116	-1.36536700402506	1.5733387887895e-21	NA	NA
Spis_LOC111321060	0.112653555475576	-1.21322844402974	2.87529812782155e-07	NA	NA
Spis_LOC111321177	1.60487922776001	-2.29038488610679	1.7931117337892e-89	NA	NA
Spis_LOC111321322	0.531243909989516	-2.08504058167917	1.07925889807716e-32	NA	NA
Spis_LOC111321649	0.232451625319071	-1.08874268689276	7.77300962435348e-07	NA	NA
Spis_LOC111322548	0.0643618878711664	-1.07858966717313	3.26919837882702e-06	NA	NA
Spis_LOC111322724	0.095512942664576	-1.22963218058302	1.73424178047938e-07	NA	NA
Spis_LOC111323598	0.171580987827724	-1.23501463612902	8.24005740918117e-08	NA	NA
Spis_LOC111323922	0.455559664609162	-1.94137003941605	1.91894972195673e-26	NA	NA
Spis_LOC111325489	0.224003572116611	-1.20818797912747	3.32111686461769e-08	NA	NA
Spis_LOC111326667	0.102518163655781	-1.30154418027521	2.63549847246244e-08	NA	NA
Spis_LOC111329572	0.0693656171505984	-1.14189661269772	6.5449967631633e-07	NA	NA
Spis_LOC111330312	0.100144232276996	-1.08633888057062	6.82660306675196e-06	NA	NA
Spis_LOC111330532	0.184532397381673	-1.12553604566709	1.08894703480327e-06	NA	NA
Spis_LOC111331038	0.33484185571392	-1.57743601201387	1.15575725482235e-15	NA	NA
Spis_LOC111331347	0.754397389742736	-1.53707321562556	4.29996677966529e-25	NA	NA
Spis_LOC111332279	0.256097086193332	-1.12485110662715	1.43277368100876e-07	NA	NA
Spis_LOC111332803	0.657708841504551	-1.1457263375343	2.87694721439355e-13	NA	NA
Spis_LOC111334889	0.108150199124087	-1.16882300822849	8.29548710440497e-07	NA	NA
Spis_LOC111335975	1.28473440678995	-2.34743241907461	1.30145992846847e-76	NA	NA
Spis_LOC111337346	2.02394872096399	-3.43698225440695	5.86068479538721e-185	NA	NA
Spis_LOC111337949	1.02000156156699	-1.57869658372326	2.16008136935873e-33	NA	NA
Spis_LOC111339286	0.124290066079201	-1.14885297080706	1.44590735524347e-06	NA	NA
Spis_LOC111339611	0.22436465166784	-1.86904854409165	8.8448308702003e-18	NA	NA
Spis_LOC111340281	0.100702891777514	-1.38276992437986	1.9804714202566e-09	NA	NA
Spis_LOC111340351	0.35872046287848	-2.22184010283388	1.2488832887793e-28	NA	NA
Spis_LOC111340543	0.0721816348847516	-1.0669562488165	6.10336284975319e-06	NA	NA
Spis_LOC111341916	0.382877656796467	-1.77590794026079	1.44148627002718e-20	NA	NA
Spis_LOC111342031	2.79682434269962	-2.63366159695304	5.85409740254146e-180	NA	NA
Spis_LOC111342032	0.295487254124131	-1.89524712456045	4.86799702076602e-20	NA	NA
Spis_LOC111342033	0.575137434271803	-2.65977281427857	1.25351123932888e-49	NA	NA
Spis_LOC111342308	0.549037035214618	-3.41502928524282	1.78056212739202e-67	NA	NA
Spis_LOC111343027	0.217871163720361	-1.29049606402178	4.12533051472216e-09	NA	NA
Spis_LOC111343307	0.163447087719702	-1.31995471777152	1.04331714427069e-08	NA	NA
Spis_LOC111345699	0.179517307986458	-1.66829131441507	1.44520414162468e-13	NA	NA
Spis_LOC111346614	0.0733686005741439	-1.19061512782086	2.0111842726286e-07	NA	NA
Spis_XP_022777431_1	0.191025885329152	-1.74434019639319	4.54542191923072e-15	Kazal_2/Lectin_C/EGF/EGF/	versican
Spis_XP_022777498_1	0.163063287936907	-1.80768668855513	1.78871935533262e-15	-	uncharacterized protein LOC111318912
Spis_XP_022777542_1	2.82955306510001	-1.39390493638892	1.30145941754145e-65	Annexin/Annexin/Annexin/Annexin/	annexin_A13
Spis_XP_022777655_1	1.12631525457491	-3.12600687591502	9.33805494027229e-101	Pkinase_Tyr/	fibroblast_growth_factor_receptor_1
Spis_XP_022777776_1	2.35804421135023	-2.49185089645209	1.15489278574236e-142	Fz/Fz/Fz/	frizzled_class_receptor_5
Spis_XP_022777828_1	0.295370680978982	-1.54926438346623	3.76613484006195e-14	fn3/PTP_tm/SRCR/	protein_tyrosine_phosphatase_receptor_type_K
Spis_XP_022777908_1	0.202859975882065	-1.19117187190672	9.65092641796624e-08	-	uncharacterized protein LOC111319382, partial
Spis_XP_022777980_1	0.239259266360987	-1.5445700561007	6.96361991925175e-13	Tropomyosin/	tropomyosin-like
Spis_XP_022778137_1	1.47763533656361	-3.63424978672146	3.73068510353668e-149	-	uncharacterized protein LOC111319658, partial
Spis_XP_022778191_1	0.457839743074362	-1.17665994523621	4.63805808090803e-11	Laminin_G_2/Laminin_G_2/	neurexin_3
Spis_XP_022778362_1	0.100644605204939	-1.09163462865478	7.05938948333244e-06	Fibrinogen_C/	ficolin_1
